Data Series,EPI_all_items_base_2018
1978-01,157.389
1978-02,157.389
1978-03,156.949
1978-04,157.241
1978-05,157.389
1978-06,158.86
1978-07,158.125
1978-08,158.712
1978-09,159.448
1978-10,159.303
1978-11,159.742
1978-12,160.036
1979-01,163.273
1979-02,166.802
1979-03,168.273
1979-04,176.363
1979-05,178.864
1979-06,184.895
1979-07,192.692
1979-08,191.809
1979-09,194.456
1979-10,197.399
1979-11,199.899
1979-12,206.665
1980-01,220.491
1980-02,226.082
1980-03,229.612
1980-04,228.288
1980-05,227.258
1980-06,226.227
1980-07,229.318
1980-08,229.905
1980-09,229.464
1980-10,230.052
1980-11,231.229
1980-12,231.523
1981-01,239.173
1981-02,238.583
1981-03,238.289
1981-04,237.996
1981-05,240.643
1981-06,238.289
1981-07,238.289
1981-08,238.289
1981-09,236.525
1981-10,232.847
1981-11,231.229
1981-12,230.788
1982-01,231.081
1982-02,232.405
1982-03,232.554
1982-04,229.612
1982-05,227.258
1982-06,227.846
1982-07,227.846
1982-08,228.876
1982-09,228.582
1982-10,229.318
1982-11,229.905
1982-12,228.288
1983-01,222.844
1983-02,223.874
1983-03,227.258
1983-04,219.315
1983-05,218.433
1983-06,220.344
1983-07,216.961
1983-08,215.197
1983-09,214.461
1983-10,215.05
1983-11,214.461
1983-12,214.901
1984-01,213.579
1984-02,214.461
1984-03,212.843
1984-04,212.107
1984-05,211.959
1984-06,211.225
1984-07,209.606
1984-08,208.577
1984-09,207.99
1984-10,206.518
1984-11,206.076
1984-12,206.223
1985-01,209.314
1985-02,210.931
1985-03,211.959
1985-04,210.342
1985-05,209.606
1985-06,206.665
1985-07,205.341
1985-08,205.048
1985-09,204.899
1985-10,200.193
1985-11,201.074
1985-12,197.399
1986-01,196.662
1986-02,191.955
1986-03,183.423
1986-04,176.216
1986-05,173.275
1986-06,172.246
1986-07,168.127
1986-08,165.921
1986-09,170.775
1986-10,173.129
1986-11,175.923
1986-12,177.835
1987-01,181.807
1987-02,180.923
1987-03,179.453
1987-04,181.66
1987-05,182.541
1987-06,183.572
1987-07,185.042
1987-08,186.806
1987-09,185.042
1987-10,185.777
1987-11,184.601
1987-12,180.336
1988-01,181.07
1988-02,180.04
1988-03,179.158
1988-04,180.189
1988-05,183.278
1988-06,186.219
1988-07,185.484
1988-08,183.278
1988-09,182.248
1988-10,175.923
1988-11,173.862
1988-12,176.216
1989-01,177.688
1989-02,178.57
1989-03,178.277
1989-04,180.189
1989-05,181.512
1989-06,180.189
1989-07,179.453
1989-08,178.277
1989-09,178.57
1989-10,179.6
1989-11,181.807
1989-12,182.689
1990-01,183.131
1990-02,179.6
1990-03,177.982
1990-04,176.511
1990-05,175.334
1990-06,172.98
1990-07,174.011
1990-08,180.482
1990-09,185.042
1990-10,191.368
1990-11,187.249
1990-12,182.836
1991-01,183.865
1991-02,181.218
1991-03,173.862
1991-04,171.362
1991-05,169.892
1991-06,169.303
1991-07,168.421
1991-08,167.686
1991-09,166.95
1991-10,166.068
1991-11,165.773
1991-12,164.301
1992-01,160.036
1992-02,159.448
1992-03,159.448
1992-04,159.303
1992-05,159.448
1992-06,160.036
1992-07,160.331
1992-08,159.303
1992-09,158.712
1992-10,159.595
1992-11,160.185
1992-12,159.595
1993-01,158.566
1993-02,158.566
1993-03,158.125
1993-04,157.831
1993-05,157.831
1993-06,157.241
1993-07,155.625
1993-08,154.74
1993-09,154.153
1993-10,153.858
1993-11,153.416
1993-12,152.24
1994-01,151.063
1994-02,150.622
1994-03,149.742
1994-04,150.18
1994-05,149.447
1994-06,148.564
1994-07,149.742
1994-08,149.742
1994-09,149.299
1994-10,149.299
1994-11,149.151
1994-12,149.299
1995-01,150.342
1995-02,149.563
1995-03,148.269
1995-04,147.518
1995-05,147.152
1995-06,146.96
1995-07,145.96
1995-08,145.475
1995-09,146.151
1995-10,145.769
1995-11,145.71
1995-12,146.226
1996-01,144.975
1996-02,143.96
1996-03,142.914
1996-04,142.343
1996-05,141.621
1996-06,140.739
1996-07,139.81
1996-08,138.547
1996-09,139.09
1996-10,139.238
1996-11,136.752
1996-12,137.31
1997-01,133.957
1997-02,133.515
1997-03,133.765
1997-04,132.458
1997-05,130.912
1997-06,129.957
1997-07,129.354
1997-08,130.957
1997-09,131.957
1997-10,133.721
1997-11,135.37
1997-12,136.252
1998-01,138.077
1998-02,135.251
1998-03,130.927
1998-04,129.28
1998-05,129.883
1998-06,130.5
1998-07,131.5
1998-08,132.62
1998-09,132.163
1998-10,129.5
1998-11,127.824
1998-12,127.117
1999-01,128.221
1999-02,129.015
1999-03,129.383
1999-04,130.854
1999-05,130.573
1999-06,130.383
1999-07,131.441
1999-08,133.029
1999-09,135.561
1999-10,135.222
1999-11,135.516
1999-12,135.795
2000-01,135.572
2000-02,137.382
2000-03,138.917
2000-04,137.62
2000-05,139.133
2000-06,139.617
2000-07,141.181
2000-08,141.515
2000-09,143.252
2000-10,143.756
2000-11,140.533
2000-12,137.627
2001-01,135.655
2001-02,135.612
2001-03,135.93
2001-04,136.614
2001-05,136.158
2001-06,134.266
2001-07,130.114
2001-08,128.666
2001-09,129.125
2001-10,127.014
2001-11,124.229
2001-12,124.382
2002-01,123.554
2002-02,124.015
2002-03,125.928
2002-04,125.011
2002-05,123.569
2002-06,121.766
2002-07,119.777
2002-08,119.676
2002-09,120.044
2002-10,121.268
2002-11,118.971
2002-12,119.708
2003-01,119.428
2003-02,121.071
2003-03,120.274
2003-04,118.733
