Data Series,average_MNE_per_employee_overall_economy
2001 1Q,3189.0
2001 2Q,2919.0
2001 3Q,2963.0
2001 4Q,3463.0
2002 1Q,3206.0
2002 2Q,2931.0
2002 3Q,2949.0
2002 4Q,3548.0
2003 1Q,3283.0
2003 2Q,2975.0
2003 3Q,2988.0
2003 4Q,3605.0
2004 1Q,3428.0
2004 2Q,3097.0
2004 3Q,3030.0
2004 4Q,3762.0
2005 1Q,3592.0
2005 2Q,3175.0
2005 3Q,3166.0
2005 4Q,3843.0
2006 1Q,3700.0
2006 2Q,3297.0
2006 3Q,3256.0
2006 4Q,3961.0
2007 1Q,3903.0
2007 2Q,3578.0
2007 3Q,3481.0
2007 4Q,4130.0
2008 1Q,4316.0
2008 2Q,3690.0
2008 3Q,3674.0
2008 4Q,4229.0
2009 1Q,4155.0
2009 2Q,3609.0
2009 3Q,3562.0
2009 4Q,4160.0
2010 1Q,4310.0
2010 2Q,3819.0
2010 3Q,3754.0
2010 4Q,4474.0
2011 1Q,4677.0
2011 2Q,4048.0
2011 3Q,3956.0
2011 4Q,4655.0
2012 1Q,4717.0
2012 2Q,4162.0
2012 3Q,4078.0
2012 4Q,4773.0
2013 1Q,4948.0
2013 2Q,4329.0
2013 3Q,4212.0
2013 4Q,4998.0
2014 1Q,5108.0
2014 2Q,4445.0
2014 3Q,4314.0
2014 4Q,5040.0
2015 1Q,5259.0
2015 2Q,4611.0
2015 3Q,4493.0
2015 4Q,5205.0
2016 1Q,5483.0
2016 2Q,4789.0
2016 3Q,4646.0
2016 4Q,5379.0
2017 1Q,5586.0
2017 2Q,4939.0
2017 3Q,4795.0
2017 4Q,5596.0
2018 1Q,5808.0
2018 2Q,5119.0
2018 3Q,4962.0
2018 4Q,5752.0
2019 1Q,6005.0
2019 2Q,5225.0
2019 3Q,5183.0
2019 4Q,5783.0
2020 1Q,6148.0
2020 2Q,5276.0
2020 3Q,5214.0
2020 4Q,5877.0
2021 1Q,6159.0
2021 2Q,5474.0
2021 3Q,5412.0
2021 4Q,6282.0
2022 1Q,6641.0
