Data Series,composite_leading_index_base_2015
1978 1Q,25.6
1978 2Q,26.4
1978 3Q,27.2
1978 4Q,26.6
1979 1Q,27.7
1979 2Q,27.4
1979 3Q,27.3
1979 4Q,28.2
1980 1Q,28.8
1980 2Q,28.2
1980 3Q,30.1
1980 4Q,31.7
1981 1Q,32.4
1981 2Q,33.9
1981 3Q,32.6
1981 4Q,32.1
1982 1Q,31.8
1982 2Q,32.1
1982 3Q,31.2
1982 4Q,32.8
1983 1Q,34.8
1983 2Q,36.5
1983 3Q,37.3
1983 4Q,38.7
1984 1Q,38.5
1984 2Q,37.8
1984 3Q,36.8
1984 4Q,36.8
1985 1Q,35
1985 2Q,34
1985 3Q,33.9
1985 4Q,34.9
1986 1Q,35.8
1986 2Q,37
1986 3Q,37.7
1986 4Q,38.5
1987 1Q,40
1987 2Q,42.3
1987 3Q,44.7
1987 4Q,43.9
1988 1Q,43.7
1988 2Q,45
1988 3Q,45.8
1988 4Q,45.9
1989 1Q,47.5
1989 2Q,47.9
1989 3Q,48.9
1989 4Q,49.7
1990 1Q,51.5
1990 2Q,51.7
1990 3Q,50.9
1990 4Q,50.4
1991 1Q,51.8
1991 2Q,53.3
1991 3Q,54.5
1991 4Q,54.1
1992 1Q,54.7
1992 2Q,56
1992 3Q,55.8
1992 4Q,57
1993 1Q,58.3
1993 2Q,58.5
1993 3Q,58.8
1993 4Q,61.5
1994 1Q,61.4
1994 2Q,62.2
1994 3Q,63.2
1994 4Q,64.2
1995 1Q,63.4
1995 2Q,63.7
1995 3Q,65.1
1995 4Q,64.4
1996 1Q,64.6
1996 2Q,65
1996 3Q,64.7
1996 4Q,65.5
1997 1Q,66.5
1997 2Q,67.6
1997 3Q,67.4
1997 4Q,65.9
1998 1Q,63.1
1998 2Q,61.2
1998 3Q,61.5
1998 4Q,63
1999 1Q,65.2
1999 2Q,69.7
1999 3Q,71.7
1999 4Q,73.3
2000 1Q,72.8
2000 2Q,72.6
2000 3Q,72.3
2000 4Q,69.4
2001 1Q,67.4
2001 2Q,64.9
2001 3Q,64.2
2001 4Q,66.1
2002 1Q,69.6
2002 2Q,70.4
2002 3Q,69.2
2002 4Q,69
2003 1Q,67.1
2003 2Q,69
2003 3Q,73
2003 4Q,75.2
2004 1Q,78.5
2004 2Q,78.8
2004 3Q,78.6
2004 4Q,77.4
2005 1Q,79
2005 2Q,78.8
2005 3Q,80
2005 4Q,81
2006 1Q,81.8
2006 2Q,82.3
2006 3Q,82
2006 4Q,83.9
2007 1Q,87.3
2007 2Q,90.3
2007 3Q,90.8
2007 4Q,90.7
2008 1Q,89
2008 2Q,88.9
2008 3Q,88.7
2008 4Q,79.9
2009 1Q,78.9
2009 2Q,84.7
2009 3Q,90.5
2009 4Q,93.7
2010 1Q,96.5
2010 2Q,95.2
2010 3Q,95.1
2010 4Q,96.6
2011 1Q,96.6
2011 2Q,97.2
2011 3Q,93.8
2011 4Q,94.1
2012 1Q,98.3
2012 2Q,96.3
2012 3Q,95.6
2012 4Q,96.7
2013 1Q,98.5
2013 2Q,99.2
2013 3Q,99.7
2013 4Q,100.3
2014 1Q,101.5
2014 2Q,102.4
2014 3Q,102.2
2014 4Q,103
2015 1Q,100.7
2015 2Q,101.4
2015 3Q,99.3
2015 4Q,98.7
2016 1Q,98.5
2016 2Q,100
2016 3Q,100.6
2016 4Q,101.9
2017 1Q,105.6
2017 2Q,105.7
2017 3Q,107
2017 4Q,109.5
2018 1Q,109.7
2018 2Q,109.4
2018 3Q,108.6
2018 4Q,108.6
2019 1Q,106.5
2019 2Q,105.1
2019 3Q,105.6
2019 4Q,104.6
2020 1Q,101.8
2020 2Q,100.5
2020 3Q,107.3
2020 4Q,111
2021 1Q,110.9
2021 2Q,112
2021 3Q,111.9
2021 4Q,112.9
2022 1Q,112.2
2022 2Q,112.7
