Data Series,total_active_CPF_members(thousands)
1970,372.5
1971,415.7
1972,535.7
1973,609.3
1974,622.5
1975,647.4
1976,677.8
1977,713.6
1978,779.4
1979,832.9
1980,863.6
1981,917.9
1982,927.5
1983,917.9
1984,943
1985,889.6
1986,912
1987,935.3
1988,963.8
1989,988.6
1990,1021.7
1991,1052.4
1992,1074
1993,1107.1
1994,1138.9
1995,1174.8
1996,1193.9
1997,1224.2
1998,1198.2
1999,1224.5
2000,1272.9
2001,1269.6
2002,1283.7
2003,1283
2004,1324.4
2005,1381.1
2006,1461.9
2007,1545
2008,1610.1
2009,1644.6
2010,1700.4
2011,1735.4
2012,1788.8
2013,1854.3
2014,1951
2015,1959.3
2016,1974.3
2017,1990.4
2018,2014.4
2019,2037.8
2020,2042.3
2021,2113.9
