Data Series,total_CPF_members(thousands)
1965,417.6
1966,442.4
1967,465
1968,504.8
1969,560.1
1970,638.8
1971,714.7
1972,855.3
1973,962
1974,1041.6
1975,1104.4
1976,1177.5
1977,1251.1
1978,1340.8
1979,1435.6
1980,1518.7
1981,1649.7
1982,1725.3
1983,1778.9
1984,1852.5
1985,1891.7
1986,1933.8
1987,1988.5
1988,2063.4
1989,2126.9
1990,2195.2
1991,2255.7
1992,2322.8
1993,2456.4
1994,2521.8
1995,2683.5
1996,2741.8
1997,2782
1998,2803.4
1999,2828.1
2000,2880
2001,2922.7
2002,2963.2
2003,2978.5
2004,3018
2005,3048.6
2006,3099.6
2007,3163
2008,3234.4
2009,3291.3
2010,3343.3
2011,3376.3
2012,3418.6
2013,3507.6
2014,3593.3
2015,3685.9
2016,3761.5
2017,3835.2
2018,3907.7
2019,3982.1
2020,4052.1
2021,4128.6
