Data Series,MAS Core Inflation Measure (Index),  Percent Change Over Corresponding Period Of Previous Year (Per Cent)
1990,62.094,na
1991,64.359,3.6
1992,65.398,1.6
1993,66.562,1.8
1994,68.246,2.5
1995,69.744,2.2
1996,70.997,1.8
1997,72.091,1.5
1998,72.376,0.4
1999,72.736,0.5
2000,73.818,1.5
2001,74.965,1.6
2002,74.927,-0.1
2003,75.631,0.9
2004,77.135,2
2005,78.104,1.3
2006,79.445,1.7
2007,81.195,2.2
2008,85.802,5.7
2009,85.783,0
2010,87.083,1.5
2011,88.97,2.2
2012,91.238,2.5
2013,92.799,1.7
2014,94.607,1.9
2015,95.076,0.5
2016,95.933,0.9
2017,97.327,1.5
2018,98.966,1.7
2019,100.0,1.0
2020,99.845,-0.2
2021,100.769,0.9
