Data Series,GDP_in_chain_2015_yearly
1960,8175.7
1961,8841
1962,9508.8
1963,10463.5
1964,10138.8
1965,10933.1
1966,12046.1
1967,13552.9
1968,15386.2
1969,17514.7
1970,19956.6
1971,22433.9
1972,25421.1
1973,28116.5
1974,29836.5
1975,31026.6
1976,33334.1
1977,35618.3
1978,38388.4
1979,42056.2
1980,46309.5
1981,51318.3
1982,54963
1983,59664.8
1984,64910.7
1985,64506.5
1986,65372.7
1987,72431.6
1988,80590
1989,88777
1990,97495.7
1991,104016.6
1992,110923.1
1993,123634.5
1994,137352.6
1995,147208.2
1996,158206.7
1997,171363.5
1998,167608.9
1999,177193.4
2000,193208.7
2001,191139.7
2002,198638.8
2003,207673.4
2004,228316.1
2005,245134.6
2006,267213.3
2007,291320.0
2008,296748.7
2009,297128.4
2010,340270.7
2011,361418.3
2012,377449.0
2013,395633.1
2014,411203.4
2015,423444.1
2016,438525.9
2017,458967.5
2018,475771.7
2019,480984.6
2020,461056.9
2021,496161.6
