Data Series,Import Price Index - Overall Items
1974,89.133
1975,87.664
1976,95.553
1977,100.395
1978,104.255
1979,117.718
1980,137.483
1981,139.692
1982,133.516
1983,130.08
1984,129.178
1985,125.716
1986,111.063
1987,120.233
1988,120.702
1989,120.603
1990,119.449
1991,115.599
1992,111.694
1993,109.386
1994,108.277
1995,108.202
1996,103.946
1997,100.436
1998,99.576
1999,101.187
2000,110.243
2001,109.103
2002,106.76
2003,107.063
2004,108.861
2005,114.476
2006,117.751
2007,115.552
2008,119.059
2009,109.479
2010,110.284
2011,115.585
2012,115.245
2013,112.028
2014,108.862
2015,95.109
2016,90.063
2017,95.324
2018,100.0
2019,98.966
2020,92.025
2021,102.721
