Data Series,per_capita_GDP_in_chain_2015
1960,4966
1961,5193.0
1962,5433.0
1963,5829.0
1964,5505.0
1965,5794.0
1966,6227.0
1967,6853.0
1968,7647.0
1969,8575.0
1970,9620.0
1971,10618.0
1972,11811.0
1973,12821.0
1974,13381.0
1975,13713.0
1976,14535.0
1977,15318.0
1978,16311.0
1979,17645.0
1980,19185.0
1981,20261.0
1982,20768.0
1983,22254.0
1984,23758.0
1985,23577.0
1986,23916.0
1987,26103.0
1988,28316.0
1989,30290.0
1990,31996.0
1991,33178.0
1992,34334.0
1993,37312.0
1994,40173.0
1995,41767.0
1996,43100.0
1997,45143.0
1998,42679.0
1999,44761.0
2000,47968.0
2001,46191.0
2002,47567.0
2003,50470.0
2004,54795.0
2005,57465.0
2006,60711.0
2007,63488.0
2008,61319.0
2009,59573.0
2010,67026.0
2011,69722.0
2012,71051.0
2013,73276.0
2014,75178.0
2015,76503.0
2016,78206.0
2017,81779.0
2018,84376.0
2019,84330.0
2020,81089.0
2021,90979.0
