"MSB I.3A Commercial Banks: Assets and Liabilities of DBUs",,,"S$ MILLION"
"END OF PERIOD","LIABILITIES - DEPOSITS OF NON BANK CUSTOMERS #","LIABILITIES - AMOUNTS DUE TO BANKS","LIABILITIES - OTHER LIABILITIES +"
1991 Jan,64379.7,46735.5,17279.2
1991 Feb,64893.4,46489.7,17534.2
1991 Mar,65503.4,47196.1,17942.4
1991 Apr,65437.0,45409.2,17950.1
1991 May,66470.8,45264.8,18266.7
1991 Jun,67083.0,48109.7,18316.8
1991 Jul,69023.2,47233.6,20822.9
1991 Aug,68403.5,45296.3,18550.4
1991 Sep,69314.4,45098.1,18568.5
1991 Oct,69007.3,46970.2,18694.1
1991 Nov,70483.3,45374.3,18685.6
1991 Dec,72241.1,45002.1,18850.2
1992 Jan,71821.8,49212.7,18508.4
1992 Feb,72773.9,49150.6,19154.5
1992 Mar,74338.4,51623.2,19245.5
1992 Apr,74706.2,51095.1,18861.6
1992 May,75753.7,48987.4,18893.3
1992 Jun,76303.2,48623.7,19128.7
1992 Jul,77192.4,48588.7,19034.0
1992 Aug,77567.0,49312.3,19081.9
1992 Sep,78157.1,49784.1,18839.9
1992 Oct,78292.8,50696.2,19102.9
1992 Nov,78146.8,51594.0,19880.2
1992 Dec,78483.2,54397.4,20421.8
1993 Jan,77659.0,53877.5,20210.7
1993 Feb,77592.2,55568.1,20276.4
1993 Mar,78568.5,52855.2,20354.1
1993 Apr,79511.0,53833.6,20863.2
1993 May,80606.5,52494.9,21005.5
1993 Jun,80806.8,55149.7,21403.5
1993 Jul,80772.4,53754.0,21367.1
1993 Aug,82049.0,54612.2,21817.2
1993 Sep,83187.7,54144.4,21894.9
1993 Oct,85938.4,58712.2,27262.3
1993 Nov,85341.4,61039.5,22378.1
1993 Dec,85400.8,62264.7,22584.9
1994 Jan,84671.2,62636.7,23117.3
1994 Feb,84611.1,63268.7,22520.8
1994 Mar,86070.2,63635.4,22592.7
1994 Apr,87028.7,64892.8,22922.1
1994 May,88963.6,69171.6,23844.7
1994 Jun,90063.2,67841.5,23998.7
1994 Jul,91799.7,69374.4,24258.8
1994 Aug,93073.7,70156.4,24567.4
1994 Sep,95042.2,75931.5,24854.0
1994 Oct,95494.6,79622.8,25284.0
1994 Nov,97436.8,78708.7,25801.7
1994 Dec,99032.2,77295.1,25625.2
1995 Jan,99575.0,80713.5,26006.2
1995 Feb,100283.6,83836.1,26493.4
1995 Mar,100332.1,81622.0,26156.5
1995 Apr,102061.5,83881.0,26283.0
1995 May,103399.6,86602.7,26617.9
1995 Jun,103653.7,87873.8,26985.0
1995 Jul,102634.2,88758.7,27636.9
1995 Aug,104333.1,86608.5,28584.2
1995 Sep,104538.7,85889.9,28488.6
1995 Oct,104716.9,83182.2,29299.8
1995 Nov,106226.9,83770.8,29633.3
1995 Dec,108885.5,86063.1,29630.1
1996 Jan,108719.4,86998.8,30416.8
1996 Feb,110607.4,89479.9,30126.5
1996 Mar,110933.3,92526.3,30376.3
1996 Apr,112888.6,92725.6,30207.1
1996 May,114253.2,91313.9,30682.3
1996 Jun,114746.3,94752.1,31009.8
1996 Jul,115647.8,97191.7,31582.0
1996 Aug,115741.8,97870.3,31468.2
1996 Sep,115384.4,98873.6,31729.0
1996 Oct,115553.8,97747.9,32349.0
1996 Nov,117294.0,96614.4,32564.5
1996 Dec,118201.5,101576.8,32945.0
1997 Jan,118632.7,103076.2,34501.0
1997 Feb,120108.0,105760.9,34959.4
1997 Mar,120011.2,110226.3,35633.4
1997 Apr,119421.9,109606.2,34639.7
1997 May,119732.7,111684.2,34330.7
1997 Jun,119668.3,111260.8,34672.4
1997 Jul,121287.6,119114.2,35491.1
1997 Aug,122335.1,124274.0,36460.3
1997 Sep,121839.5,126165.5,36860.1
1997 Oct,121969.4,130081.1,37711.8
1997 Nov,123111.6,116892.4,37944.2
1997 Dec,124143.0,125856.1,39573.2
1998 Jan,124040.5,126971.8,39851.2
1998 Feb,127408.4,109098.0,40258.9
1998 Mar,130349.8,109379.9,39906.1
1998 Apr,128563.3,107588.9,39943.4
1998 May,129726.1,109259.4,41534.8
1998 Jun,130363.6,112264.9,41770.9
1998 Jul,133077.2,111473.8,41841.6
1998 Aug,133044.5,116112.2,42443.4
1998 Sep,133827.5,109711.6,41527.2
1998 Oct,134616.3,107451.1,41834.4
1998 Nov,159328.5,109163.3,43885.5
1998 Dec,162310.3,104107.8,42362.5
1999 Jan,162681.2,110731.5,42562.0
1999 Feb,163635.4,108751.7,43154.9
1999 Mar,165236.7,113307.4,44506.8
1999 Apr,165777.6,106982.1,43355.1
