"MSB I.4 Commercial Banks: Deposits (excluding S$NCDs) of DBUs by Types of Non-bank Customers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S$ MILLION"
"END OF PERIOD","TOTAL DEPOSITS - TOTAL","TOTAL DEPOSITS - IN S$","TOTAL DEPOSITS - IN FOREIGN CURRENCIES","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - TOTAL","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - DEMAND DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - FIXED DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - SAVINGS AND OTHER DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - TOTAL","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - DEMAND DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - FIXED DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - TOTAL","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - DEMAND DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - FIXED DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - TOTAL","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - DEMAND DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - FIXED DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS"
1991 Jan,64379.7,62863.4,1516.3,13268.9,745.9,12521.5,1.5,0.0,0.1,0.0,4600.4,898.2,3701.4,0.9,108.4,19.1,0.0,40761.4,6322.9,24761.6,9676.9,387.7,278.0,12.2,5749.0,670.9,4107.5,970.6,65.3,640.8,4.7
1991 Feb,64893.4,63400.7,1492.7,13563.3,831.6,12730.1,1.6,0.0,0.1,0.0,4435.2,926.0,3508.4,0.9,167.3,7.1,0.0,41123.1,6233.2,24913.8,9976.2,361.5,269.8,12.9,5771.7,714.3,4105.7,951.7,70.9,601.4,1.7
1991 Mar,65503.4,64035.8,1467.6,14003.0,949.0,13052.6,1.4,0.0,0.1,0.0,4250.7,903.5,3346.4,0.9,139.0,9.4,0.0,41616.4,6287.0,25182.4,10147.0,345.5,265.3,11.6,5633.3,660.5,4005.1,967.7,77.2,616.8,2.7
1991 Apr,65437.0,64044.8,1392.2,13646.6,908.8,12736.4,1.4,0.0,0.1,0.0,4219.6,860.2,3358.4,1.0,96.6,4.5,0.1,41857.1,6195.1,25510.0,10152.0,337.4,237.4,12.1,5713.6,704.8,4028.6,980.2,61.7,639.6,2.7
1991 May,66470.8,65037.0,1433.8,14493.0,697.2,13794.6,1.2,0.0,0.1,0.0,3777.9,710.5,3066.6,0.9,123.8,7.3,0.0,42407.2,6461.8,25751.1,10194.3,360.3,256.2,10.4,5792.7,649.2,4169.8,973.7,56.0,617.4,2.3
1991 Jun,67083.0,65662.1,1420.9,14548.6,666.1,13881.3,1.2,0.0,0.1,0.0,4359.1,684.8,3673.4,0.9,95.0,7.6,0.0,42579.8,6464.8,25936.7,10178.3,361.9,252.3,11.0,5595.5,692.7,3923.6,979.2,65.3,624.4,3.5
1991 Jul,69023.2,67549.1,1474.1,14888.6,736.0,14151.5,1.2,0.0,0.1,0.0,4062.5,694.6,3367.0,0.9,139.6,1.6,0.0,44521.4,7954.4,26566.8,10000.2,355.0,247.0,19.0,5550.7,663.2,3931.7,955.9,53.0,657.2,1.8
1991 Aug,68403.5,66985.2,1418.3,14824.0,764.5,14058.0,1.4,0.0,0.1,0.0,4433.1,904.0,3528.0,1.1,114.5,0.8,0.0,43403.8,6177.1,27084.8,10142.0,329.9,233.1,27.2,5742.5,642.9,4113.0,986.6,55.6,646.0,11.1
1991 Sep,69314.4,67839.5,1474.9,15114.1,796.9,14316.0,1.3,0.0,0.0,0.0,4685.2,892.9,3791.4,0.9,152.2,1.2,0.0,43869.0,6337.1,27329.1,10202.8,379.6,228.4,30.4,5646.0,654.0,4005.7,986.3,52.8,620.0,10.4
1991 Oct,69007.3,67626.8,1380.5,14561.4,813.9,13746.2,1.3,0.0,0.0,0.0,4525.8,910.5,3614.4,0.9,145.7,0.8,0.0,44257.3,6484.3,27472.4,10300.6,345.6,228.2,23.8,5662.8,706.9,3920.8,1035.0,63.7,562.7,10.0
1991 Nov,70483.3,69089.1,1394.2,15204.1,1132.2,14070.6,1.2,0.0,0.0,0.0,4627.7,874.4,3752.3,1.0,109.2,0.8,0.0,45046.4,6686.7,27680.7,10679.0,447.6,219.1,23.6,5605.0,588.0,3983.9,1033.1,59.8,532.8,1.3
