,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Public Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Government Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Government Debt, (End Of Period), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: ACCOUNTANT-GENERAL'S DEPARTMENT, MONETARY AUTHORITY OF SINGAPORE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q 
Total Government Debt,988195.6,874110.6,777957.7,764357.9,744302,728756.2,704721.4,690148.7,684763.9,656258,641094.3,612971.4,570683.4,561629,546699.5,535829,527981.2,517091.7,502021.9,496028,483356.2,479226.5,463165.6,446329.2,441278.4,435976.3,421302.1,411197.9,407877.6,395993.3,387250.7,384530.6,378335.4,381141.8,390407.1,388073.2,392595.2,396466.3,384997.6,380818,371325.3,367172.5,354023.4,345973.6,342211.4,331163,321182.3,312000.8,306690.1,300468.4,291501.8,286014,275536.4,264210.4,255464.8,248406.9,250703.3,243920.1,234093.2,228451.7,222813.7,211055.7,206438.7,211387,207714.9,202016.2,200005.6,202633.6,195315.4,189761.8,186598.2,182085.9,173945.9,173110.9,169331.9,166349.7,161869.8,161096.7,156751.3,154938.4,150702.2,151130.1,148999.9,142849.2,139706.3,138869.8,134370.4,132455.4,130544,128498.2,125777.1,123686.1,122529.5,119679.3,115183.3,110313.3,107620,106088.3,102371.9,100455.9,99001.4,98757.7,94830.7,92595.7,92264.4,90584.8,86507.6,84246.1,82029.9,79106.1,75344.4,74071.1,72264.6,71365.9,69822,72316.7,70457.3,69635.4,67252.5,66004.1,63701.7,62031.3,59041.1,57169.3,55761.1,54882.7,51425.6,50020.1,48860,47443.5
  Domestic Debt,988195.6,874110.6,777957.7,764357.9,744302,728756.2,704721.4,690148.7,684763.9,656258,641094.3,612971.4,570683.4,561629,546699.5,535829,527981.2,517091.7,502021.9,496028,483356.2,479226.5,463165.6,446329.2,441278.4,435976.3,421302.1,411197.9,407877.6,395993.3,387250.7,384530.6,378335.4,381141.8,390407.1,388073.2,392595.2,396466.3,384997.6,380818,371325.3,367172.5,354023.4,345973.6,342211.4,331163,321182.3,312000.8,306690.1,300468.4,291501.8,286014,275536.4,264210.4,255464.8,248406.9,250703.3,243920.1,234093.2,228451.7,222813.7,211055.7,206438.7,211387,207714.9,202016.2,200005.6,202633.6,195315.4,189761.8,186598.2,182085.9,173945.9,173110.9,169331.9,166349.7,161869.8,161096.7,156751.3,154938.4,150702.2,151130.1,148999.9,142849.2,139706.3,138869.8,134370.4,132455.4,130544,128498.2,125777.1,123686.1,122529.5,119679.3,115183.3,110313.3,107620,106088.3,102371.9,100455.9,99001.4,98757.7,94830.7,92595.7,92264.4,90584.8,86507.6,84243.8,82027.6,79101.3,75339.7,74063.8,72257.3,71356.2,69810.4,72301,70439.5,69613.1,67228.2,65973.3,63667,61993.4,59000.3,57121.1,55710.7,54821.7,51357.7,49944.3,48753.4,47312.9
    Issued For Non-Spending Purposes,985595.6,871510.6,775357.8,764357.9,744302,728756.2,704721.3,690148.7,684763.9,656258,641094.3,612971.4,570683.4,561629.1,546699.6,535829,527981.1,517091.7,502021.9,496028.1,483356.2,479226.6,463165.5,446329.2,441278.5,435976.3,421302.2,411197.9,407877.6,395993.3,387250.7,384530.6,378335.3,381141.8,390407.1,388073.2,392595.1,396466.3,384997.6,380818,371325.3,367172.5,354023.4,345973.6,342211.4,331163,321182.3,312000.8,306690.1,300468.4,291501.8,286014,275536.4,264210.4,255464.8,248406.9,250703.3,243920.1,234093.2,228451.7,222813.7,211055.7,206438.7,211387,207714.9,202016.2,200005.6,202633.6,195315.4,189761.8,186598.2,182085.9,173945.9,173110.9,169331.9,166349.7,161869.9,161096.7,156751.3,154938.4,150702.2,151130.1,148999.9,142849.2,139706.3,138869.8,134370.4,132455.4,130544,128498.2,125777.1,123686.1,122529.5,119679.3,115183.3,110313.3,107620,106088.3,102371.9,100455.9,99001.4,98757.7,94830.7,92595.7,92264.4,90584.8,86507.6,84243.8,82027.6,79101.3,75339.7,74063.8,72257.3,71356.3,69810.4,72301,70439.5,69613.1,67228.2,65973.3,63667,61993.4,59000.4,57121.2,55710.7,54821.7,51357.7,49944.3,48753.4,47312.9
      Publicly Held,230026.6,225226.1,217438,221188.2,212354.6,208819.5,201930.2,196952.2,200267.4,193437.6,188352.4,168171.8,134510.3,133965.5,128600.5,125374.7,125405.9,122866.1,117641.7,118589.3,113537.5,117952.9,110935.3,107902,110041.7,110586,106398.5,102900,105300,100000,98100,101200,100200,108900,124800,127900,137800,146700,142600,143900,142700,143800,138500,135500,138500,133300,132300,128100,128100,126600,123700,122600,115700,108200,104600,101600,108000,103400,98100,96800,93200,86300,85800,85700,83300,78800,78000,81500,75800,72300,72200,70000,64000,64750,63050,61950,59150,59550,58050,56450,53250,54630,53630,50480,47930,46690,43240,40740,39030,36330,35300,32600,32410,30400,28630,26480,24230,23210,21890,21410,21210,21090,20500,20410,20000,19610,18560,17994,18200,17270,16110,15950,15570,15510.3,15450,14620,14210,13880,13700,13450,12280,11830,11180,10900,10560,10370,8680,8300,8185,7840
        Singapore Government Securities (Market Development),154900,152300,146500,150300,142700,142200,136300,131600,135200,128700,123900,125800,118700,119200,114700,112200,113100,111100,106500,105600,103000,105600,101000,98200,100400,101300,97200,94700,97100,92000,90100,93200,92200,86900,86000,83500,86200,86700,82600,85300,83100,84600,79400,77600,80600,75400,75200,73600,75000,74900,71600,73300,69700,66900,68700,68000,69000,68100,65200,66900,63400,57900,60000,60000,59600,57500,56700,59200,53500,51200,52000,50800,44800,46750,45850,45050,41900,42600,41300,40500,37700,39680,38980,35780,33580,32960,29860,28010,26210,24610,23140,22640,22570,21540,20090,18340,16220,15520,14970,14720,14690,14510,14510,14110,14010,13510,12810,12210,12410,12160,11110,11410,10610,10460,10460,9930,9610,9060,8760,8510,8110,7910,7710,7710,7610,7660,6610,6210,6110,6030
        Treasury Bills And Cash Management Treasury Bills,68800,67000,65200,65200,64000,61000,60000,59700,59400,59000,58800,36800,10600,10400,10200,10100,9900,9800,9500,11500,9200,11200,9000,8800,8800,8500,8500,8200,8200,8000,8000,8000,8000,22000,38800,44400,51600,60000,60000,58600,59600,59200,59100,57900,57900,57900,57100,54500,53100,51700,52100,49300,46000,41300,35900,33600,39000,35300,32900,29900,29800,28400,25800,25700,23700,21300,21300,22300,22300,21100,20200,19200,19200,18000,17200,16900,17250,16950,16750,15950,15550,14950,14650,14700,14350,13730,13380,12730,12820,11720,12160,9960,9840,8860,8540,8140,8010,7690,6920,6690,6520,6580,5990,6300,5990,6100,5750,5784,5790,5110,5000,4540,4960,5050.3,4990,4690,4600,4820,4940,4940,4170,3920,3470,3190,2950,2710,2070,2090,2075,1810
        Singapore Savings Bonds,6326.6,5926.1,5738,5688.2,5654.6,5619.5,5630.2,5652.2,5667.4,5737.6,5652.4,5571.8,5210.3,4365.5,3700.5,3074.7,2405.9,1966.1,1641.7,1489.3,1337.5,1152.9,935.3,902,841.7,786,698.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Non-Publicly Held,755569,646284.5,557919.8,543169.7,531947.4,519936.7,502791.1,493196.5,484496.5,462820.4,452741.9,444799.6,436173.1,427663.6,418099.1,410454.3,402575.2,394225.6,384380.2,377438.8,369818.7,361273.7,352230.2,338427.2,331236.8,325390.3,314903.7,308297.9,302577.6,295993.3,289150.7,283330.6,278135.3,272241.8,265607.1,260173.2,254795.1,249766.3,242397.6,236918,228625.3,223372.5,215523.4,210473.6,203711.4,197863,188882.3,183900.8,178590.1,173868.4,167801.8,163414,159836.4,156010.4,150864.8,146806.9,142703.3,140520.1,135993.2,131651.7,129613.7,124755.7,120638.7,125687,124414.9,123216.2,122005.6,121133.6,119515.4,117461.8,114398.2,112085.9,109945.9,108360.9,106281.9,104399.7,102719.9,101546.7,98701.3,98488.4,97452.2,96500.1,95369.9,92369.2,91776.3,92179.8,91130.4,91715.4,91514,92168.2,90477.1,91086.1,90119.5,89279.3,86553.3,83833.3,83390,82878.3,80481.9,79045.9,77791.4,77667.7,74330.7,72185.7,72264.4,70974.8,67947.6,66249.8,63827.6,61831.3,59229.7,58113.8,56687.3,55846,54360.4,57681,56229.5,55733.1,53528.2,52523.3,51387,50163.4,47820.4,46221.2,45150.7,44451.7,42677.7,41644.3,40568.4,39472.9
        Special Singapore Government Securities / Advance Deposits,582969,571284.5,557919.8,543169.7,531947.4,519936.7,502791.1,493196.5,484496.5,462820.4,452741.9,444799.6,436173.1,427663.6,418099.1,410454.3,402575.2,394225.6,384380.2,377438.8,369818.7,361273.7,352230.2,338427.2,331236.8,325390.3,314903.7,308297.9,302577.6,295993.3,289150.7,283330.6,278135.3,272241.8,265607.1,260173.2,254795.1,249766.3,242397.6,236918,228625.3,223372.5,215523.4,210473.6,203711.4,197863,188882.3,183900.8,178590.1,173868.4,167801.8,163414,159836.4,156010.4,150864.8,146806.9,142703.3,140520.1,135993.2,131651.7,129613.7,124755.7,120638.7,125687,124414.9,123216.2,122005.6,121133.6,119515.4,117461.8,114398.2,112085.9,109945.9,108360.9,106281.9,104399.7,102719.9,101546.7,98701.3,98488.4,97452.2,96500.1,95369.9,92369.2,91776.3,92179.8,91130.4,91715.4,91514,92168.2,90477.1,91086.1,90119.5,89279.3,86553.3,83833.3,83390,82878.3,80481.9,79045.9,77791.4,77667.7,74330.7,72185.7,72264.4,70974.8,67947.6,66249.8,63827.6,61831.3,59229.7,58113.8,56687.3,55846,54360.4,57681,56229.5,55733.1,53528.2,52523.3,51387,50163.4,47820.4,46221.2,45150.7,44451.7,42677.7,41644.3,40568.4,39472.9
