,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Fixed Capital Formation (GFCF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Fixed Capital Formation In Chained (2015) Dollars, Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 11/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q ,1989 4Q ,1989 3Q ,1989 2Q ,1989 1Q ,1988 4Q ,1988 3Q ,1988 2Q ,1988 1Q ,1987 4Q ,1987 3Q ,1987 2Q ,1987 1Q ,1986 4Q ,1986 3Q ,1986 2Q ,1986 1Q ,1985 4Q ,1985 3Q ,1985 2Q ,1985 1Q ,1984 4Q ,1984 3Q ,1984 2Q ,1984 1Q ,1983 4Q ,1983 3Q ,1983 2Q ,1983 1Q ,1982 4Q ,1982 3Q ,1982 2Q ,1982 1Q ,1981 4Q ,1981 3Q ,1981 2Q ,1981 1Q ,1980 4Q ,1980 3Q ,1980 2Q ,1980 1Q ,1979 4Q ,1979 3Q ,1979 2Q ,1979 1Q ,1978 4Q ,1978 3Q ,1978 2Q ,1978 1Q ,1977 4Q ,1977 3Q ,1977 2Q ,1977 1Q ,1976 4Q ,1976 3Q ,1976 2Q ,1976 1Q ,1975 4Q ,1975 3Q ,1975 2Q ,1975 1Q 
Gross Fixed Capital Formation,30603.1,30142.1,30954.2,30655.7,29824.9,29534.3,28569.2,23082.2,20876.6,28628.2,29868.2,29432.2,29974.6,28566.1,29409.9,28196.3,29821.2,28458.2,32362.8,30139.1,30830.2,28779.4,30469.5,28305,29775.7,27443.2,30276.3,29017.8,29042.4,26934.7,29505.8,28286.4,27583.2,27679.7,27419.3,28683,26262.4,26112.5,26414.9,25461.7,24781.6,25525.5,24097.3,25291.9,23366.6,21310.4,23026.9,22184.9,21736.5,21488.5,21775.8,20668.6,21096.8,19303.2,19387.9,19682.1,20036,19429.2,20643.4,16885,16961.7,16418.4,17166.9,15681.3,14114.6,14427.2,15492.3,13942.4,13147.5,13513.4,13116.9,14491,13513.8,13003.9,12638.4,12455.7,11783.6,12196.1,12715,12674.3,13103.9,13248.5,13708.3,14402.5,14043.7,14801,15065.7,16323,13976.9,14718.6,13618.7,14365.4,13125.2,12819.1,13420.7,14209.7,13820.2,15020.6,16407.5,15746.8,13965.1,13337.6,14894.3,12566.9,13584.1,12735.9,12689.6,10879.3,10104.5,9658.7,10390,9836.8,9173.8,9199.7,9513.8,8833.8,8632.1,8142.5,8875.4,7897.1,7759.5,7462,7141.4,7297.9,7343.2,6794.6,6595.2,6552.2,6015.5,6061.1,6367.3,5588,5119.8,5595.9,5172.6,5326.4,4531.4,4541.9,4882,4720.4,4334,4579.8,4507.3,4808.7,4257.2,4834.1,4977.3,5105.5,4854.5,6052.2,6185.4,5627.3,6005.8,5958.3,5584.3,5528.7,5737.6,4804.5,4960.1,5087.2,4707.2,4751.6,4665.1,4171,3828.2,3452,3593.3,3512.9,3570,3205.9,3184.2,3233.3,2767.6,2319.6,2831.7,2374.1,2429.3,2509.6,2405.3,2381,2211.6,1987,1987.2,2322.4,2247.5,2304.5,2121.8,1992.9,2139.7,2170.8
  Construction & Works,10886.4,11025.2,11257.8,11422.8,11357.9,11237.4,10450.2,6624.8,5631.5,12565.5,12712.5,12171.4,11998.2,12126.9,11997.8,11909.9,11999,12420.5,12615.1,12291.6,12343.1,13095.1,13591.8,14151.4,14766.5,14412.3,14815.6,14690.3,14386.5,13810.1,14272.2,14154.3,14162.3,14399.3,14935,14546.3,14208.4,13781.3,14342,13735.7,13405,12964.9,13314.9,12834.6,12149.8,11994.4,12615.6,12045.2,12043.4,11567.4,12758.5,11797.5,11087.2,10947.9,11297,10675,9472.6,9089,9610.6,8800.2,7936,7973,7341.5,7279.2,6575.7,6831.9,7057.5,6600.1,6090.5,6742,6543.1,6400.9,6142,6910.6,7039.8,7024.2,6525.1,6806.2,7604.9,7623.8,7420.7,8232.4,8624.6,9189.4,8763.3,9064.1,9427.2,9431.1,8531.4,8413.6,8702.3,8386.4,7980.5,8440.3,9120.9,9540.6,9408.7,9389.2,10571.2,10178.4,9010.1,8257.9,8659,8391.3,8153.9,7703.7,7584,6859,6249.2,5866.6,6546.8,6226,5342.9,5634,5391.5,5241.3,4827.4,4748.6,5266.6,4795.4,4486.7,4394.5,4518.6,3965.9,3410.2,3452.4,3400.1,2996.8,2948.2,3224.8,3340.7,2951.3,2795.8,2904,3057.1,2964.5,2794.6,2833.1,3108.2,3339.2,3315.2,3226.4,3642.2,3622.5,3781,3636.4,4093.2,4418.5,4463.7,4891.1,5077.2,5300.4,5411.5,5263.1,5210,4841.2,4706.3,4253.7,4086.7,3769.6,3439,3234.8,3210,2730.4,2376.4,2102.1,2189.7,2058.6,2051.4,1901.6,1865.7,1666.6,1663.8,1602.5,1654.9,1479.6,1525.5,1448.4,1489.5,1562,1505.1,1463.9,1439.4,1560.3,1550.5,1417.7,1501.2,1422.7,1335.9,1170.6
    Residential Buildings,4653.6,4436.2,4560.4,4538.3,4711.7,4519.6,4341.4,2896.9,1904.6,4314.2,4704.2,4496.7,4314,4127.8,4324.2,4542.2,4546.6,4482.7,4982.9,5061.4,5020.6,5265.8,5623.5,6038.7,6274,6248.8,6759.9,7125.4,7049.1,6832.1,7164.5,7035.4,7272.9,6858,7673.7,7299.4,7203.9,6697.8,7124.8,6848.5,6445.7,5975.8,6045.3,5920.5,5894.2,5816.1,6239.4,6024.1,5762.2,5201.1,5240.8,4669.6,4300.7,4071.3,4462.2,4285.5,3935.4,3556.6,3673.1,3441.9,3384.7,3172,2940.3,2895.9,2731.4,2666.8,2787.8,2877.7,2735.5,2594.1,2944.5,2997.4,3061.1,3180.4,3410.1,3243.1,3068.6,3253.4,3791.5,3678.8,3614.3,3559.6,3781.6,3823,3700.6,3638.3,4026.1,4280.5,4185.9,4014.7,4525.5,4500.6,4302,4308.3,5016.3,5226,5160.3,4989.8,5715.2,5565.5,4890.4,4398.7,4553.4,4575.2,4396.8,3939.1,3857.3,3654.9,3047.3,2828.4,3098.6,2847.1,2655.6,2808.9,2761,2562.3,2298.4,2182,2384.8,2125.8,1858,1785.4,1824.5,1724.6,1525.5,1558.6,1588.8,1361.8,1282.3,1446.4,1479,1369.9,1379.4,1433,1661,1522.2,1444.3,1367.4,1489.1,1561.2,1633.5,1459.8,1670.8,1767.2,1943.3,1917.4,2188.8,2477.9,2671.6,2984.8,3056.3,3184.4,3440,3151,3096.3,2802.8,2699,2223.9,2062.9,1802,1538.2,1232.6,1194.1,974.6,907.4,743.1,801,682.7,829.5,701.3,650.9,609.1,754.4,698.9,711.2,708.8,786.4,722.5,860.5,942.8,929.4,834.3,809.9,881.8,836.2,806.3,798.3,810.5,742.9,675.9
    Non-Residential Buildings,4035.5,4325.4,4444.5,4428.3,4163,4328.2,4090.1,2519.8,2347.3,5374.8,5346.2,5029.1,4885.9,5095.8,5042.9,4745.9,4822.6,4901.7,4767.3,4791.8,4846.4,5187.2,5344.1,5545.9,5465.3,5263,5184.2,5226,4801.9,4684.4,4910.9,4982.8,4920.6,5091.6,5293.6,5228.4,5158.8,5034.5,5021.8,4968.8,4911.2,5003,5113.5,4859.2,4430.3,4242.1,4422.8,4078.9,4432.5,4453.7,5530,5357.8,5221.5,4986.3,5145.7,4823.1,4046.3,4190,4655.5,4227.7,3638.6,3673.4,3272.7,3153.2,2807.4,2905.1,3146.6,2694.9,2373.1,2620.7,2586.8,2345.6,2209.8,2651.7,2456.1,2560,2368.2,2397.4,2716.8,2666.1,2633.1,3108.7,3213,3508.1,3257.3,3413.7,3581.6,3677.6,3233.3,3086.7,3016.3,2704.7,2591.7,2901.6,2967,3217.2,3227.9,3196,3827.2,3489,3131.3,3000.5,3178.2,3040.4,3057.9,3055,2937.6,2603.6,2645.3,2360,2806.1,2640,2080.3,2169.3,2106.6,2173,2004.6,1994.5,2201.2,2108.4,2086.8,2092.8,2082.2,1690.7,1452.1,1401.7,1324.5,1273.7,1310,1296.5,1187.7,1145.3,1006.3,1001.7,945.7,894.3,778.4,833.3,799.2,837.1,733.4,748,822.6,855.4,972.4,1076.7,1289.9,1379.6,1329,1542.1,1655.4,1747.5,1729.7,1814.2,1824,1792.3,1696.4,1675.4,1684.1,1571.9,1507.4,1650.6,1596,1381.4,1112.6,991.8,1001.7,975.3,876.6,852.8,873.3,793.4,699.5,659,651.7,532.1,535.8,494.1,402.7,386.3,375.1,387.9,394.5,405.7,413.9,394,442,393,377.1,353.1
    Other Construction & Works,2173.5,2268,2254.9,2461.7,2477.8,2392.2,2007.9,1191.1,1404.1,2926.8,2686.4,2670,2833.3,2958.7,2659.9,2638.4,2647.9,3067.5,2868.1,2440.1,2478.5,2645.1,2624.3,2566.8,3027.3,2900.4,2877.1,2337.4,2533.9,2290.8,2190.5,2132.2,1955.2,2458.3,1957.6,2010.5,1836.6,2043.8,2188.2,1913.6,2043.1,1983.1,2148.8,2049,1824.6,1931.7,1963.4,1953.2,1845.1,1880,1915.4,1698.6,1498.4,1802,1621.2,1502.4,1441.5,1286.3,1205.4,1066.8,876.5,1069.8,1075.2,1169.8,994.7,1194.2,1066.5,995.7,956.8,1444.2,987.3,1039.2,874.4,1057.4,1161.2,1194.1,1069.6,1139.1,1097.4,1264,1163.9,1510.4,1575.6,1783.6,1736,1923.7,1752.7,1434.1,1103.3,1288.6,1164.1,1191.2,1098.7,1226,1159.7,1121.1,1044.9,1220.2,1054.7,1148.8,1009.9,877.5,944.7,799,721.1,723.2,799.7,617.9,565.3,680.3,645.2,731.4,614.6,663.7,541.7,514.4,525.1,564.5,669,549.1,518.9,491.4,581.3,534.5,424.1,482.8,483.9,357.5,344.8,470.3,646.9,431.3,418.2,475.3,480.4,559.3,580.2,625.7,803.7,914.6,932,979.7,1108.5,982.4,871,666,649.3,621.4,554.6,481.9,481.6,489.5,405.6,420.7,406,345.3,397.2,394.3,360.2,397.2,379.9,314.2,375.2,329.6,323.1,326,347.7,347.4,323.8,313,302,238.2,213.8,238.7,279.1,242,219.9,240.1,257,271.5,242.9,268.7,260.2,299.1,318.3,244.7,278.9,246.6,238.1,168.8
  Transport Equipment,2228.2,1968.7,2064.6,1815.3,1677,2005.2,2151.2,1129.4,862.3,1870.3,3234,3387.6,4171.9,3072.6,3650.5,2457,3810.3,2302.5,5316,3474.3,4160.2,2743.8,4954,2353.7,2448.8,1386.7,3102.5,1866,2167.3,1758.9,2092.5,1914.9,1402.9,1930.5,1614.5,2525,1599,2186.6,2180,2040.9,1875.8,3385.1,1592,2990.8,2372.2,1159.1,1971.8,1621,1263.4,2030.5,983.3,1263.5,3333.3,2085.1,1225.5,1362.8,2882.8,3442.7,2981.8,783.6,2089.9,1870.8,2195.7,1233.8,735.1,1625.5,1537.4,1213.3,1260.5,1546.8,784.1,1854.8,825.4,874.2,742.9,1125.7,1070.5,1486.3,1280.4,1122.5,1334.6,1060.9,1344.7,1419.9,1171.4,1441.1,825.6,2023.5,789.7,1586.3,1079.2,2437,1528.7,1383.7,1251.8,1785.7,1449.5,2757.3,2388.9,2358.3,1927.9,2225.4,3255.3,1534.7,2359.9,2158.4,2276.3,1609.6,1315.4,1590.8,1181.2,1270.5,1329.4,1466.7,1613.8,1231.9,1597.4,1651.6,1392.8,1137.1,1391,1409.8,643.1,1253,1634.6,1267.8,768.1,1361.7,997.1,976.6,1097.6,770.2,521.3,1259.6,490,936.3,436.3,589.6,804.5,571,283.2,813,280.8,756.2,230.4,896.9,502.5,531.3,274.6,1072.4,929.9,378.1,704.8,794,530.8,773.3,1087.9,590.1,652.6,1041.6,820.7,1111.4,818.8,837,885.3,725.8,750.7,866.3,1080.1,852.2,884.4,1136.8,712.9,394.2,780.3,437.1,620.9,757.4,644.8,664.3,520.9,413.1,276.9,514.5,475,631,360.2,279.9,296.6,454
  Machinery & Equipment,7275.8,7027.1,7519.6,7320.4,6805.2,6541.8,6769.4,6021.6,5373,5637.8,6136.6,6044.4,5985.1,5689.8,6146.3,6110.5,6140.7,5960.1,6272.2,5461.5,5773,5131.8,5541,5545.4,6395.8,5390.1,5585,5428.5,5486.6,5055.7,5826.6,5393.3,5444.7,4947,5690,5777.4,5377.3,5084,5945.4,5470.3,5377.1,5281.6,5438.5,5639.1,5215.3,4635.5,5114.4,5054.9,5035.4,4706.9,4736.2,4277.2,3620.5,3312.2,4077.1,4571.9,4682.6,3937.6,4931.7,4322.4,4022,3729.2,4391.7,4023.7,3863.9,3316.3,4095.6,3559.5,3317.9,2949.9,3423.3,3599.7,3892.1,3147.7,2994.6,2633,2550.2,2422.6,2479.6,2582,2793.2,2728.1,2674.8,2794.4,2936.8,3207,3620.1,3612.5,3369.3,3446.3,2884.2,2683.6,2679.3,2343.7,2443.5,2405.2,2443.6,2533.1,2990,2799.3,2548.9,2397.9,2617.6,2278.3,2580.8,2413,2395.9,2055.1,2049.9,1825.1,2170.1,1946.4,1939,1757.6,1971,1843.1,1716.1,1450.3,1777.9,1570.8,1490.7,1359.8,1560.1,1544.8,1605.6,1497.9,1678.3,1497.1,1426.7,1361.3,1443.8,1356.3,1305.6,1137.9,1254.6,1137.7,1047.9,968.8,958.7,912.4,870.5,768.2,859.5,785.1,704,712.6,824.4,752.6,742.5,789.4,884.1,794.7,785.5,772.5,719.1,718.9,734.4,640.7,743.2,764.5,789.3,768,871.3,782.3,712.8,690,726.2,675.2,605.6,578.8,565.1,541.5,501,442.2,506.8,488.7,420.9,427.1,413.3,369.5,366.7,315.9,383,407.7,390.7,398.3,407.4,409.8,491.2,470.1
  Intellectual Property Products,10052.2,9974.4,9945.7,9956.9,9856.9,9597.1,9067,9089.8,8780.2,8511.3,7723.1,7748.8,7728.2,7601.4,7539.9,7646.8,7779.8,7717.6,8070.8,8782.3,8441.4,7731.3,6382.7,6254.5,6164.6,6254.1,6789.3,7025,7003.7,6300.3,7308.4,6819.8,6558.3,6405.6,5167.7,5814,5072.1,5064,3861.3,4166.5,4072,3840.8,3690.9,3697.7,3532.6,3520.7,3243.5,3397.6,3321.6,3125.5,3202.5,3318.3,3277,3124.5,2869.4,3009.5,2836.4,2985.9,2853,2901.7,2761.5,2822.7,2819.2,2950.7,2700.6,2613.4,2444.7,2397.2,2298.8,2381.3,2282,2322.6,2232.2,2192.7,2089,2041.8,1925.3,1849.7,1913.1,1867.1,1890.4,1821.3,1762.9,1758.8,1763.8,1569.9,1515.3,1590.2,1578.8,1475,1464.8,1457.8,1432.1,1358.4,1321.8,1349.7,1291.2,1196.1,1218.3,1206.5,1153.6,1129.6,1084.9,1026.3,1010.3,964.1,896.6,819.9,810.1,775.1,776.8,763,733.1,686.3,679,722.1,701.5,657.3,682.8,669.6,659.7,627.4,595.1,634.5,618,546.5,533.6,539.9,513.9,501.3,404.9,368.9,341.9,317.7,360.1,361.7,341.7,315.5,258.4,247.8,227.5,203.4,191.3,166.5,163.2,186.4,197.1,201.1,197.1,192.7,163.8,144.7,132.2,116.7,96.3,89.2,93.2,95.4,96.7,106.4,104.4,95.2,74.2,74.8,73.2,71.8,72.6,69.2,67.6,64.9,63.7,64,62.2,57.4,58.5,56.7,52.8,47.5,43.5,38.2,34.5,30.2,27.1,25.7,23.3,21,17.1,13.3,9.8,6.4
Gross Fixed Capital Formation (Public Sector),4834.4,5680.8,4882.5,5050.1,5338.4,5641,4548,3162.9,3137.7,6752.5,5935.7,5672.6,5369.3,6487.2,5551.3,5680,5281.2,6677.3,6074.3,5627.3,5493.6,7088.3,5733,6147.9,6368.7,6144.4,5977.2,5171.3,5294.6,5273.4,4843.1,4789.9,4531.6,5443.2,4580.8,4422,3960,4687.7,4525.5,4350.9,4081.9,4577.3,4167.7,3968.3,3717.5,4465.1,3920.6,3788.5,3519.2,3841.5,3561.2,3244.6,2986.2,3231.5,2791.5,2719.8,2346.2,2605,2251.9,2106.2,1896.4,2718.3,2198.8,2189,1891.1,2928.8,2486.2,2363.5,2242.8,3407.8,2687.9,2807,2434.2,3233.7,3180.2,3224.4,2733,3286.9,3090.9,3094.4,2768.1,3643.4,3416.2,3515.2,3568.1,3914.8,3657,3373.5,3020.7,3494.9,3301.9,3257.1,3051.5,3800.2,3437.2,3224.5,3063.6,3079.8,3103.1,3238.8,2806.9,2644.7,2618.2,2469.2,2123.9,2412.8,2255.3,2458,2193.3,2005.9,2419.8,2313.6,1961.9,2015.7,2075.8,1826.1,1687.4,1568.6,1888.3,1472.8,1496.9,1778,1985.1,1705.2,1255.2,1516.3,1683.7,1184.1,1140.6,1178.1,1399.9,1082.2,1024.1,1120,1325.9,1237,1214,1517.6,1683.6,1774.9,1831.3,2006,2131.9,2114.1,2079.5,1908.9,1997.6,2075.3,1904,1890.9,2055.1,2080.7,2050.5,2099.8,2100.9,1878.7,1909.1,1733.1,1692.2,1612.6,1420.3,1226.5,1245.1,1040.6,962.5,993.4,979.1,953.1,870.8,956.3,852.3,739.3,707.6,807.6,1013.1,874.2,811.7,953.1,853.5,922.8,923.9,901.6,801.8,885.2,908.2,752.8,788.2,693.2,654.4,542.3
