,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Sector Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Household Net Worth, Assets and Liabilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Household Sector Balance Sheet (End Of Period), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 30/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q 
Household Net Worth,2426163.5,2385997.9,2317522.3,2282483.3,2231417.1,2164218.6,2093235.8,2051856.9,1982068.7,1993205.5,1947578.4,1910545.5,1868886.3,1824530.4,1824716.5,1805178.1,1768886.8,1733335.4,1703850.2,1681089.8,1657535.9,1621282.5,1596123.6,1570726.1,1550793.8,1518715.9,1499342.8,1498855.2,1490599.3,1463054.3,1456005.8,1453350.5,1435787.4,1425245.3,1426052.6,1410304.2,1400859.1,1368617.9,1337137.3,1310096.1,1301337.8,1265579.7,1249706.6,1236275.5,1211997.5,1185892.1,1153577.9,1109150,1074487.5,1031439.9,988166.7,921907.3,892148.5,912107.5,927667,938489.9,930602.5,914074.4,889085.7,854024.2,803806.1,769610.2,745092.1,726811.6,717170.7,697405.3,687033.4,669494.9,668128.5,660501.7,645237.7,634003.8,621222.6,606525.3,596492.7,581129,563746.1,557599.4,555078.4,542420.7,545311.6,541403.7,543005.3,548851.9,550640.9,557202.5,564910.3,565988.3,567097.1,558280.4,537905.2,506047,475996.7,464385.5,472055.6,484537.6,505544.6,523461.6,543014.7,548763.2,549071.8,551652.7,546888.4,543731.1,510411.3,484401.4,459654,446338.4,423765.3
  Assets,2786673.8,2745500.6,2671570.9,2629003.1,2571536.8,2499486.2,2424744.5,2381414.9,2316747.2,2334353,2287774.1,2252028,2212926.9,2170504.3,2170357.4,2150254.7,2113022.2,2075155,2039745,2012412.8,1985339.8,1947223.4,1921163.1,1892253.9,1868619.8,1837152.5,1815398.9,1813109.3,1803622.2,1774412.6,1763755,1756587.6,1734131.3,1720803,1716248.5,1696235.6,1682386.9,1645113.5,1605339.6,1570308.6,1554946.3,1513456.5,1491956.7,1470749,1437007.7,1406084.3,1366915,1315903.4,1275175.1,1229331,1180894.4,1111461.1,1078625,1098371,1112500.7,1120959.8,1109903.3,1092722.5,1063759.7,1023238.2,970580.1,935631.3,910519.8,892152,882823.9,863849.2,853271.2,834980.5,833398.2,825593.1,809806.3,797760.8,783949.8,769013.4,757341.4,740564,721841.6,712802.8,708778.7,695145.6,696902.6,692868.4,692482.5,696113.5,696326.4,700950.8,705589.5,703449,701845.5,690113.3,666872.4,631805.8,598548.4,584636.9,588432.7,598230.9,615858.9,631344.6,647985.8,649285.8,645499.1,644340,636164.8,629778.9,591982.7,561956.3,533291.8,516303,490433
    Financial Assets,1603049.5,1581180.3,1554357.7,1536038,1499606.3,1473252.4,1424103.3,1399925.2,1338163.8,1352932.7,1315856.5,1295400.9,1263899.1,1223538.8,1221822.2,1208134.2,1195618.6,1180614.9,1152762.5,1136981.6,1115664.4,1084998.5,1065900.5,1041222.4,1024933.6,1003662.9,983761.8,987980.5,979802,955702,939825.1,930294.7,909541.3,892387.5,879357.4,860405,859179.7,831923.6,812083.9,790684.3,786852.4,753350.4,740862.5,742771.4,732331.2,716733.3,700983.7,676261.4,668041.6,653274.8,637771.2,609438,573259.5,558754.6,566177.6,580997.2,583150,586623,584417.9,576573.2,548697.1,527853.8,511100.6,495880.6,492522.3,479638.8,473088.9,461595.7,451901.6,443874.4,433227.2,419983.6,412114.6,398333.9,389293.6,373813.3,359575.1,352908.6,349804.6,346101.9,348838.6,342703.4,336072,335360,330563.4,324467,323550.2,322669.2,323093.9,325394.7,315835.9,313945.8,302387.5,295263.4,283642.8,277377.7,276727.5,268401,268141,262629.2,257926.1,252394.3,245593.5,242201.4,237159,229317,220333.3,211013.8,202671.5
      Currency & Deposits,562627.6,543436.9,535065.8,528895.6,524713.7,517148.8,508124.1,506564.5,493950.9,475911.7,466414.1,461905.4,455015.2,440065,433988.1,433096.3,427806.5,419107.4,413473.8,411532.2,407974.6,400286.5,389115.3,380657,377826.8,370168.5,365052.6,362709.8,359671.1,346339.1,339981.6,338503.1,333366.6,326438.3,321670.4,315874.5,314331.8,301884.6,294838.6,288431.4,285833.1,277186.6,270319.5,261305.7,254991.4,250034.3,245800,240230,237753,231722.6,228803.4,227766.8,223886.6,214892,208690.2,206926.2,205039.6,195886.5,190537.8,187934.1,180504.3,171559.1,165003.9,157889.5,152817.4,147862.4,145082.2,141292,139565.7,135825.1,134156.7,132033.5,131786.7,127703.2,125805.9,124020,122259.2,120394.5,120680.9,121129.6,121615.6,122005.3,120266.4,118863.7,117448.6,115980.8,116244.3,116661.9,117147.9,117764.4,115722.8,114060.6,112443.7,110635.8,108883.2,107201.1,105670.9,104080.7,101820,99854.4,97899,95618.5,93636,91902.1,90153.8,88325.3,85996.3,83798.6,81596.1
      Shares & Securities,246649.4,248547.3,240596.4,241627.2,233582.8,227294.3,209764.8,202810.9,180748.7,217444.2,207623.8,206676.7,197101.8,190704.6,201734.7,201257.4,205719.4,208123.3,200770.8,198161.5,193691.9,185793.5,184970.7,181344.4,178072.9,176528.6,171340.9,182555.3,183097,183069.6,182765.1,182236.4,176508.4,174563,173727.2,168897.9,171916.6,166205.5,161415.4,155402.4,159703.6,146391.7,147086.2,161100.8,163712.9,160796.2,154761.5,145964.5,145296.1,143378.9,137063.2,120057.8,98586.3,97397.9,109015.6,125759.7,132177,144255.9,150192.4,151445.5,139216.2,132875.3,127706.9,124594.8,126812.6,121948,121094.1,116789,114325.4,113108.1,111105.8,106118.7,102545.7,99194.2,95268.1,85353.9,76735.6,75573.5,75510.7,73060.7,77320.1,74862.9,74412.3,76796.6,76354.6,75458.9,76243.3,76589.7,77582.3,81615.5,76192.9,78134.2,70451.8,68823.9,61325.6,57549.9,59002.9,55460.3,59687.7,58419.1,57533.3,58473.5,57046.5,56184.6,54986.8,52582.5,49343.4,45591.2,42133
        Listed Shares,104050.6,99672.9,97078.1,98413.3,96306.3,90237.7,81567.8,82003.2,73530.5,90485.5,87630.8,90674.7,89190.7,85561.7,89962.5,89991.2,95659.3,95053.8,90556.5,90317.8,90378.8,83375.5,83186.2,83469.2,84207,83796.2,80615.7,89847.8,91407,91986.9,93393.7,95430.9,92968.6,91834.6,92990.9,90827.3,93461.6,88092.6,84000.5,79025.8,81965.2,70851.4,71429.5,82970.4,85208.7,83375.7,78203,72386.9,72399.4,71844.2,67282.1,54510.4,37272.6,37837.9,46813.4,57178.7,57217.1,66653.8,70793.2,71829,59882.4,53244.4,48429.5,46170.7,49241.9,44730.8,44388.9,41319.8,40092.1,39386.8,38863.4,37446.6,37444.1,35571.4,33187.2,26995.4,22099.4,22479.1,22668,20825.6,25692.6,23487.1,22906.1,24975.6,24218.9,23192.9,24037.9,24530.6,25669.6,29763.3,24285.1,26092.2,18275.6,16592.1,11296.7,12839.2,19610.4,18270.7,23288.8,23929.2,24952.3,26683.2,26206.5,27638.9,28735.5,27281.4,25518,25195.4,25194.2
        Unlisted Shares,32945.5,32854.6,32667.8,32216.6,31765.4,31578.5,31612,31492.9,30773.7,31807.2,31718,31502.6,31287.2,31197.9,31278.2,31472,31665.8,31746,31670.1,31486.6,31303.2,31227.2,31128.3,30889.4,30650.6,30551.6,30895.8,31726.8,32557.8,32902,32643.9,32020.8,31397.7,31139.6,31245.3,31500.4,31755.5,31861.2,32326.2,33449,34571.7,35036.8,35435.3,36397.3,37359.2,37757.7,37256.7,36047.1,34837.6,34336.6,34175.5,33786.7,33397.8,33236.8,33152.2,32947.9,32743.7,32659.1,33164.8,34385.6,35606.5,36112.2,36695.3,38102.9,39510.6,40093.6,40926.6,42937.5,44948.4,45781.3,45003.6,43126,41248.4,40470.7,40487.2,40527.1,40567,40583.5,40566.8,40526.5,40486.2,40469.5,41155.5,42811.7,44467.9,45153.9,45195.8,45297,45398.2,45440.1,45815.5,46721.9,47628.3,48003.8,45891.6,40792.3,35693,33580.8,32925.1,31342.1,29759.2,29103.5,28341,26500.1,24659.3,23896.8,22447.1,19082.1,15689.8
        Unit Trusts & Investment Funds,109653.3,116019.8,110850.6,110997.3,105511.1,105478,96585,89314.8,76444.5,95151.5,88275.1,84499.5,76623.9,73944.9,80494,79794.2,78394.4,81323.5,78544.3,76357.1,72009.9,71190.7,70656.2,66985.8,63215.4,62180.8,59829.3,60980.8,59132.2,58180.7,56727.5,54784.8,52142.1,51588.8,49491.1,46570.3,46699.5,46251.8,45088.6,42927.7,43166.7,40503.6,40221.4,41733.1,41144.9,39662.7,39301.8,37530.5,38059.2,37198.2,35605.6,31760.7,27915.9,26323.3,29050.1,35633.1,42216.2,44943,46234.4,45230.9,43727.3,43518.7,42582.2,40321.1,38060.1,37123.5,35778.6,32531.7,29284.8,27940,27238.8,25546,23853.3,23152.1,21593.7,17831.5,14069.2,12510.8,12275.9,11708.6,11141.3,10906.4,10350.7,9009.2,7667.7,7112.1,7009.6,6762.1,6514.6,6412.1,6092.3,5320.1,4547.9,4228,4137.3,3918.4,3699.6,3608.9,3473.9,3147.8,2821.8,2686.8,2499,2045.5,1592.1,1404.2,1378.3,1313.6,1249
      Life Insurance,257989.5,266875,266483.2,263750.6,250780.7,250075.9,236449.3,228903.7,211231.6,217602.1,207507.1,200664.7,194129,184898.2,185439,180507.9,177025.9,177313.5,169014.4,165295.7,159794.2,153843.1,153672,148413.3,145424.9,141756.4,138345.4,139879.1,140332.4,136665.7,132725,130662.8,126004.8,124339.1,121813.4,119135.3,121794.5,119720,117203.7,113727.2,113352.5,108533.9,107431,109694.6,108662.6,107262.3,106220.5,101244.3,100780.4,99232.5,96128.6,89607.7,82443.3,82835.6,88529.9,92229.2,93386.2,96797.3,96612.4,92716.2,86861.8,84240.3,80637.2,77302,77608.5,76572.1,75064.9,73279.7,69882.6,69837,65054.2,61147.9,58632.9,54747,53040.1,51104.4,48904.8,47513.2,45313.3,44546.7,43406.4,40962.8,37949.7,36800.6,33207.2,29488.5,28126.4,26807.7,25248.6,24141.9,22414.2,21231.8,19902,18972.7,18073.5,17459.4,17200.4,16261.7,16247.3,15612.6,14773.5,13628.2,12726.4,12039.2,11405,10833.9,10174.2,9680.5,9252.4
