,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Labour Market Statistics (End Of Period), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 29/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q 
Resident Unemployed Persons (Seasonally Adjusted) (Thousand),71.1,73.9,76.3,82.7,84.8,92.9,103.5,110.4,93,79.4,73.7,71.2,73.7,72,69.4,65,66.7,66.1,67.4,70.5,70.7,74.6,72.2,66.6,69.1,60.3,63.7,65.2,63.2,57.6,60.9,61.1,61.1,62.3,59.1,56.6,61.7,60.6,58.3,60.6,59.4,62.2,62.2,61.7,61.3,57.3,65,63.4,64.6,66.1,67.2,98.1,89.5,91.8,77.4,66.6,58.9,51.8,47.7,47.5,59.3,71.6,73.7,70.5,66.1,61.8,65.7,81,77.4,77.4,75.8,70.4,81.7,86.4,91.5,109.2,81.8,87.2,83.7,82.9,76.4,83.1,86.5,67.4,49.6,44,50.5,45.5,74,61.5,52.5,64.7,59.8,68.1,73,71.9,39.9,37.1,33.4,29.2,29,29.6,31.2,29.8,34.9,35.3,32.9,31.1,33.8,31.5,32.9,32.6,29.9,30,29.2,32.4,29.7,26.3,27.7,34.6,29.7,30.9
Job Vacancy To Unemployed Person Ratio (Seasonally Adjusted) (Ratio),na,2.4,2.1,2,1.7,1,0.8,0.6,0.6,0.7,0.8,0.9,0.9,1,1.1,1.1,1.1,1,0.9,0.9,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.2,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.2,1.2,1,1.2,1,1,1.2,1.2,1.2,1.3,1,1.1,1,0.9,0.8,0.5,0.4,0.4,0.5,0.8,1,1.3,1.4,1.3,1,0.8,0.8,0.7,0.7,0.6,0.6,0.4,0.5,0.4,0.4,0.5,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.6,0.9,0.9,1.3,0.7,0.8,0.9,0.7,0.6,0.5,0.4,0.4,0.9,1.3,2.1,2.8,2.7,2.9,2.6,2.8,2.3,2.4,2.5,2.9,2.4,2.5,2.4,2.6,2.6,2.5,na,na,na,na,na,na,na,na
Job Vacancy Rate (Per Cent),na,5.5,5.2,5.5,4.9,3.3,2.6,2.6,2.1,2.1,2.3,2.4,2.5,2.5,2.7,2.9,2.8,2.5,2.3,2.5,2.5,2.3,2.2,2.4,2.4,2.4,2.4,2.7,2.9,3,2.9,3.2,3.1,3,2.8,3,2.6,2.6,2.2,2.8,2.5,2.4,2.7,2.9,3.1,2.8,2.5,2.8,2.7,2.2,2.1,2.2,1.6,1.4,1.7,2.4,2.7,2.6,2.7,2.6,2.7,2.5,2.4,2.3,2.5,2,1.7,1.7,1.8,1.6,1.5,1.7,1.5,1.5,1.3,1.3,1.2,1.2,1.2,1.6,1.6,1.4,1.2,1.3,1.7,1.9,2.2,3.1,3,2.7,2.3,2.5,2,1.8,1.3,1.5,2,2.7,3.3,4.4,4.7,5,4.1,4.6,5.1,5.3,4.4,5.2,5.6,5.5,4.6,5.4,5.4,5.4,na,na,na,na,na,na,na,na
Overall Unemployed Persons (Non Seasonally Adjusted) (Thousand),99.2,73.3,76.7,88.5,124.1,93.1,102,117.1,139.9,82.7,74.7,74.7,110.8,74.7,71.6,68.5,100.2,69.4,65.9,68.1,106.9,77.7,69.1,67.3,102.8,65.1,59.1,61.5,94.6,63.2,59.4,60.7,90.7,68.4,56.6,54.2,90.7,62,55.6,56.5,87.1,64.6,61.4,57.7,87.4,58.2,63.7,58.5,88.8,66.6,63.7,87.5,124.1,92.3,74.1,57.8,81.8,50.8,45.9,41.6,79.7,67.8,70.2,63.4,88.3,56.9,66.1,71.5,100.5,69.1,78.5,61.7,103.8,76.2,95.5,98.2,104.2,75.1,90.4,72.4,97.4,71.2,92.3,56.7,63.2,37.4,54.9,37.2,97.5,52.6,56.8,52.9,79.4,58.6,78,56.5,54.1,31.8,35.2,22.5,40.2,25.5,33.2,23.2,48.5,31,34.9,23.3,47.2,27.6,35.7,25.5,41,26.2,30.2,26.5,41.6,21.8,28.7,28.4,41.5,26.3
Resident Unemployed Persons (Non Seasonally Adjusted) (Thousand),91.6,65,65.7,77.5,111.2,82.7,89.6,101.7,122.9,71.2,63.9,64.1,98.1,65.4,60.2,57.4,89,60.9,58.2,61.5,94.4,69.5,62.1,57.9,92.3,57.3,54.3,56.7,84.5,54.4,51.2,52.7,81.8,59.3,50.4,48.3,82.6,57.8,50.5,51.6,79,59.1,54.3,52.6,81.2,54.3,57.4,54.2,84.4,63.3,59.8,83.6,116.3,87.9,69.9,56.1,76.2,49.5,44.3,40.4,76.1,66,69.7,60.4,84.2,56,64.2,69.6,97.5,68.3,76.4,61.1,101.3,74.8,94.9,94.3,101,74.5,88.4,70.8,94.2,70.7,92.3,56.4,61.9,37.4,53.7,37.2,94,52.6,55.8,51.7,77.5,58.3,77.1,55.9,52.6,31.8,35.1,22.5,38.5,25.3,32.7,22.7,46.7,30.1,34.6,23.1,45.5,26.9,34.5,24.8,40,25.5,29.7,26,40.2,21.8,28,28,40.1,25.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Unemployed Persons (Seasonally Adjusted) (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Residents refer to Singapore citizens and permanent residents.  The seasonally adjusted figures are derived using X-12 ARIMA to remove the seasonal influences in the data series.  The seasonally adjusted unemployment figures are subject to annual revisions when the latest set of seasonal factors is updated, taking into account observations for the latest available year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Vacancy To Unemployed Person Ratio (Seasonally Adjusted) (Ratio):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
