,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Private Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Price Index Of Industrial Space, (4th Quarter 2012 = 100), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 28/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: JTC CORPORATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
Data Series,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q ,1989 4Q ,1989 3Q ,1989 2Q ,1989 1Q ,1988 4Q ,1988 3Q ,1988 2Q ,1988 1Q ,1987 4Q ,1987 3Q ,1987 2Q ,1987 1Q ,1986 4Q ,1986 3Q ,1986 2Q ,1986 1Q ,1985 4Q ,1985 3Q ,1985 2Q ,1985 1Q ,1984 4Q ,1984 3Q ,1984 2Q ,1984 1Q ,1983 4Q ,1983 3Q ,1983 2Q ,1983 1Q ,1982 4Q ,1982 3Q ,1982 2Q ,1982 1Q ,1981 4Q ,1981 3Q ,1981 2Q ,1981 1Q ,1980 4Q ,1980 3Q ,1980 2Q ,1980 1Q ,1979 4Q ,1979 3Q ,1979 2Q ,1979 1Q ,1978 4Q ,1978 3Q ,1978 2Q ,1978 1Q ,1977 4Q ,1977 3Q ,1977 2Q ,1977 1Q ,1976 4Q ,1976 3Q ,1976 2Q ,1976 1Q ,1975 4Q ,1975 3Q ,1975 2Q ,1975 1Q 
All Industrial,94.4,93,91.1,89.8,89.7,88.1,87.3,86.4,88.3,89.3,89.7,89.9,89.8,89.9,90,90,89.9,89.9,90,91,91.8,93.3,95.4,98.3,100,102.4,105,106.6,106.9,107.6,106.8,106.9,107.9,107.1,103.2,106.8,103.8,104.5,100,100.7,92.5,85.3,79.5,76.4,71.4,67.7,62.5,58.7,54.2,51.3,50.5,49.6,50.7,53,59,63.2,62.6,60.1,58.2,54.9,53.2,49.1,47.4,45.6,45.1,44.6,44.4,44.2,43.8,43.6,43.3,43.1,42.9,42.8,42.8,43.5,44.7,45.8,47.2,48.8,49,50.3,na,55.3,58.4,61.3,61.2,58.9,58.2,52.7,52.1,47.9,50.4,52.8,54.9,57.8,67.3,74.6,80.2,81.3,85.9,87.8,84.1,84.6,82.6,81.8,75.7,70.7,66.5,61.3,57.1,50.6,46.8,45.4,43.4,43.3,43.1,41.4,42.1,41.7,39.2,37.2,36.7,37.1,37,35.4,34.6,35.6,31.5,30.7,27.8,27.1,27,22.8,19.8,18.8,18.6,18.3,18.6,18.6,19,19,17.8,18.3,17.2,18,20.1,25.1,25.3,25.1,27.7,28.2,30.1,33.5,32.7,33.2,33.7,35.1,38.7,40.4,40.9,41.6,44.5,53.8,47.8,35.6,27.7,23,19.1,17.2,15.5,14.3,13.8,13.8,13.6,13.8,13.8,14.1,14.3,13.6,13.2,12.7,12.5,12.2,11.9,11.9,12.2,12.2,12.2,12.7
  Multiple-User Factory,97.7,96.1,93.9,92.6,92.6,91,90.2,89.2,91.2,92.6,93.2,93.4,93.4,93.6,93.8,93.9,93.8,93.8,94,94.6,95.4,96.9,98.7,100.8,101.8,103.5,105.9,107,107.4,107.8,107.7,107.9,109.9,107.2,103.2,104.4,103.5,102.9,100,102.7,93.3,86.1,80.3,77.4,72.6,68.7,63.2,59.5,54.7,51.9,51.1,50.3,51.3,53.7,59.6,63.8,63.4,60.6,58.3,54.9,53.3,49.3,47.4,45.6,45.1,44.7,44.4,44.2,43.8,43.6,43.4,43.2,42.8,42.7,42.7,43.1,44.3,45.4,46.8,48.3,48.4,49.8,51.5,55.3,58.4,61.4,61.4,59.4,58.7,52.8,52.4,48.2,50.8,53.8,55.6,58.7,68.5,76.3,80.2,81.2,86.2,87.9,83.4,83.7,81.6,80.9,75.9,71.4,66.6,61.2,57,51,47.3,45.7,43.1,43,42.7,40.5,41.3,41.3,38.9,37.1,36.6,37.1,36.5,35.7,34.7,34.9,30.8,30.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Single-User Factory,84.6,83.6,82.1,80.9,80.7,79.2,78.3,77.7,79.2,79.7,79.8,79.9,79.7,79.6,79.6,79.4,79.3,79.3,79.3,80.8,81.7,82.8,85.4,88.9,91.4,94.4,97.2,99.4,99.5,100.6,99,98.8,99.5,97.6,97.8,98.9,97.6,98.6,100,97.5,93.2,92.9,87.8,84.5,81.9,78.7,74.6,76,80.2,82.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Industrial (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Before 4th Quarter 2014, the price index is computed based on transactions of multiple-user factories in the Central region and island-wide multiple-user warehouses, with weights updated every quarter using past 12 quarters transaction values.  In addition, as warehouse price index is not published for 2001Q4, industrial price index is also not available for 2001Q4.  From 4th Quarter 2014, the price index is computed based on island-wide transactions of multiple-user factories and single-user factories.  From 4th Quarter 2014 and 1st Quarter 2016, the weights used are fixed using 2012 and 2015 transaction values respectively.  Subsequent weights are updated every 3 years using transaction values at the third year.  The price index is also re-scaled to 100 at 4th Quarter 2012.  Due to rounding, there could be some differences in the quarterly price change compared to the price index before re-scaling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Industrial -> Multiple-User Factory (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
