,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Private Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Rental Index Of Industrial Space, (4th Quarter 2012 = 100), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 28/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: JTC CORPORATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
Data Series,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q 
All Industrial,93.7,92.3,91.4,91.2,90.6,90.1,89.6,89.5,90.3,90.9,91,91,91,90.9,90.9,90.9,91,91.1,91.2,91.3,92.3,93,93.8,94.3,96.2,97.9,100.6,101.7,102.5,103.2,102.8,103.4,105.3,105.3,105,104.7,100.3,100.4,100,96.2,95.1,92.5,90.8,90.4,88.3,83.6,78.6,74.9,71.4,70.5,69.3,69.1,71.3,75.5,80,83.1,83,81.1,76.7,71.2,65.5,60.8,58.2,56.4,56.3,56.2,55.8,54.5,53.6,53.4,53,52.6,52.1,52.1,52.2,53.3,54.6,55.7,56.9,57.8,59.7,60.6,61.4,62.1,62.6,63.1,63.7,64.8,65.3,63.7,63.9,63.2,65.7,70.1,75.2,80.9,90,94.8,98.3,98.6,98.9,100.8,103.5,105.9,110.2,109.1,107.8,106.2,103.3,102.6,95.3,95,93.3,92.9,96.5,94.1,93.8,91.2,95.2,91,88.2,86.8,87.8,85.5,85,79.5,81.3,76.4,70.6,62.3
  Multiple-User Factory,92.2,90.3,89.5,89.2,88.9,88,87.3,87.1,88.1,88.5,88.9,89,89,88.9,89,89.1,89.3,89.1,89.1,89.2,89.9,90.7,91.7,92.2,93.4,95.7,99.4,100.6,101.7,102.9,102.8,102.6,104.9,104.9,103.5,105,100.6,100.4,100,96.2,96.1,92.4,91.2,90.7,88.8,85,78.5,75.9,72.1,70.8,70.3,70,71.8,75,79.9,82.6,82.5,79.9,76,70,63.2,59.6,57,55.3,55.3,55.2,54.7,53,52.1,52,51.4,50.7,49.7,49.7,49.7,51.2,52.6,54.3,55.6,56.2,57.5,58.7,59.1,59.8,60.3,60.7,61.2,62.5,62.8,61.2,61.4,60.6,62.8,67.1,72.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Warehouse,89.1,87.3,86,85.7,84.3,84.1,83.7,83.5,84.4,85,84.8,84.7,84.9,85.1,85,85.1,85.1,85.5,85.8,86.7,88.5,90.5,91,91.2,95.4,96.4,97.2,98.7,99.3,99.4,98.8,100.6,100.6,100.6,105.4,101.9,97.5,99.8,100,93.6,90.5,92.4,90.7,90.6,88.3,81.5,80,73.5,70.5,70.4,68,68,70.5,77.6,80.5,85.6,85.6,85.6,80.5,76.3,72.5,65.5,63,60.9,60.3,60.3,60.2,60.2,59.2,59,59,59,59,59,59.3,60.2,61.4,61.4,62.6,63.9,66.9,67.5,68.8,69.5,70.1,70.8,71.6,72.5,73.3,71.4,71.7,71.3,74.5,79.3,84.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Single-User Factory,97.8,97.4,97.1,96.4,95.8,95.7,95.5,95,95.7,96.7,96.9,96.8,96.3,95.8,96.4,95.8,95.9,97.5,98.3,99.1,100.1,99.9,100.9,101.8,104,105.9,108,109.3,108.7,109.2,108.9,109.5,107.4,107.4,103.8,102.3,103.1,102.8,100,97.3,96.3,92.8,88.6,87.9,87.5,82.4,83.8,78.7,79.7,76.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Business Park,112.1,111.9,111.9,112.5,112.2,112.2,112.1,112,113.1,113.3,113.3,113.2,113.1,112.9,111.9,112,112.1,111.5,108.9,106.8,106.5,104.3,105.4,104.2,104.4,103.9,104.9,104.9,106.3,106.6,106.2,105.9,106.9,105.8,105.8,103.7,101.6,102.1,100,101.1,100.9,98.9,99.5,97.3,93.7,94.7,92.3,93.7,92.9,92.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Industrial (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
