,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Recruitment and Resignation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Average Monthly Recruitment Rate By Industry And Occupational Group, (SSIC 2015), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 14/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 
Total,2.1,1.6,2.2,2.3,2.1,2.2,2.4,2.6,2.7,2.8,2.7,2.8,2.2,2.8,2.9,2.8,2.7,2.8,2.3,2.4,2.5,3.2,2.6,2.3,3.2,3.2,3.5,3.5,3.6,3.7,3.9,4.5
  Manufacturing,1.8,1.1,1.7,1.9,1.8,1.6,1.6,1.8,1.9,1.9,2,2,1.5,2,2.3,2.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Services,2.2,1.8,2.4,2.4,2.3,2.4,2.6,2.8,2.8,2.9,3,3.2,2.5,3,3.2,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Wholesale And Retail Trade,2.2,1.8,2.2,2.4,2.4,2.5,2.7,3.1,3.5,3.4,3.2,3.6,2.7,3.3,3.5,3.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Transportation And Storage,1.7,1.1,1.7,1.8,1.7,1.8,2,2.1,2.3,2.3,2.4,2.3,1.4,2.5,2.4,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Accommodation And Food Services,3.4,3.2,4,3.7,3.7,3.9,4.5,4.7,4.6,4.6,4.9,4.7,3.8,4.6,5.1,5.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Information And Communications,2.8,2.2,2.4,2.3,2,2.2,2.6,3,2.7,2.8,3,3.2,2,2.9,3,3.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Financial And Insurance Services,1.8,1.3,1.8,2.1,1.8,1.9,2,2.2,2.1,1.9,2.4,2.7,1.6,2.4,3.1,2.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Real Estate Services,2.3,1.8,3.2,3.3,3.4,3.5,3.5,3.8,3.6,4.1,4.1,3.9,3.6,3.8,4,4.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Professional Services,2.3,1.6,2.2,2.5,2,2.3,2.2,2.3,2.5,2.9,2.8,2.7,2.3,3.4,3.6,3.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Administrative And Support Services,3.6,3.3,4.3,4.5,4.6,4.4,4.7,5.2,4.8,4.6,4.9,4.8,4.3,4.6,4.9,4.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Community, Social And Personal Services",1.4,1.2,1.5,1.5,1.3,1.4,1.6,1.6,1.6,1.8,1.9,2.3,2,2,1.8,1.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Others,1.6,1.1,1.6,1.8,1.4,1.3,1.6,2.1,2.2,2.4,2.1,2,2.3,3,3,1.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
