,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: CPF Contributors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Central Provident Fund Members By Age Group (End Of Period), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: CENTRAL PROVIDENT FUND BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 
Total CPF Members,4128.6,4052.1,3982.1,3907.7,3835.2,3761.5,3685.9,3593.3,3507.6,3418.6,3376.3,3343.3,3291.3,3234.4,3163,3099.6,3048.6,3018,2978.5,2963.2,2922.7,2880,2828.1,2803.4,2782,2741.8,2683.5,2521.8,2456.4,2322.8,2255.7,2195.2,2126.9,2063.4,1988.5,1933.8,1891.7,1852.5,1778.9,1725.3,1649.7,1518.7,1435.6,1340.8,1251.1,1177.5,1104.4,1041.6,962,855.3,714.7,638.8,560.1,504.8,465,442.4,417.6
  Up To 20 Years,431.8,397,372.1,113.7,114.9,119.7,126.2,123.1,117.6,112.8,110.4,106,101.3,104.5,105.5,94.5,84.4,80.3,78.5,82.2,88.2,90.3,88.8,94.3,100.9,99.2,105.1,105.7,108.5,108.2,112.6,112.6,104.5,95.8,95.4,98.3,118.9,142.3,152.2,166.1,179,177,175.8,166.8,155,150.4,143.4,144.4,145.5,126.7,101.7,83.1,61.6,43.6,35.3,32.5,29.3
  > 20 - 25 Years,228.1,234.5,236.6,242.4,248,249.2,248,241,234.4,236.6,229.4,220.5,214.8,210.3,198,197.2,200.8,206.7,207.1,206.9,202.5,202.2,197,204.6,218.6,229.9,238,235.7,237.8,234,239.9,252.5,266.5,290.2,316.4,337.6,355,369.9,368.6,367.5,357.2,333.5,322.5,308.4,297,286.2,270.6,246.2,232.1,200.6,159.8,136,108.4,89.9,73.1,62.9,58.6
  > 25 - 30 Years,287.2,286.7,290.9,288.6,292.1,285,273.9,266.5,260.9,252.6,257.6,267.8,271.4,265.3,256.5,249.8,249.4,247.3,251.7,261,268.5,271.7,280.6,285.6,291.2,299.7,315.7,327,345.9,361,375.8,385.9,393,395.3,393.3,389.3,383.3,374.7,362.8,353.2,334.9,305,286.7,264.5,244.3,226.5,208.2,175.3,152.9,127.8,96.7,84.6,84.3,84.7,79.5,77.7,73.6
  > 30 - 35 Years,326.9,314.2,305.9,298.1,287.1,291.1,298.8,299.8,302.6,303.7,301.8,305.1,303.4,299.4,299.8,303.5,302.9,307.2,309.2,312.8,318.3,331.4,348.1,370.1,389.3,404.3,413.5,413.3,410.3,404.3,398.2,391,380.1,370,359.2,345.7,327,310.4,290.6,271.4,252.1,227.3,197.2,168.5,146.4,123.5,110.3,109.5,110.3,103.8,94.9,86.3,78.9,71.2,63.7,62.2,58.3
  > 35 - 40 Years,312.5,317.9,318,320.2,321,318.5,320.6,318.5,320.3,326.8,333.9,335.6,340,336.6,334.2,336.2,345.6,358.9,379.5,397.5,411.2,419,423.2,422.4,417.4,411.6,404.2,389.2,377.3,365.4,350.7,332.2,315.1,297.2,278.4,261.2,242.2,212.3,184.4,163.2,138.3,121.3,123.1,121.4,116.6,112.5,103.7,95,87.2,78.1,70.6,65.5,59.5,56.6,54,52.3,50.6
  > 40 - 45 Years,326.9,327.5,325.8,327.7,333.8,341.3,342.6,347,346.7,346.6,349.6,359.4,372.5,389.8,404.7,416.7,422.7,425.8,424.2,418.6,412.2,404.6,393.8,384,373.7,360.4,343.5,322.6,304.7,284.3,266.4,248.2,217.9,190.6,169.1,144.5,130.2,132.3,131.8,128,123.8,112.2,105.2,94.9,86.5,82.6,77.8,70.6,67.7,64,57.7,54.4,50.1,47.1,43.2,41,38.6
  > 45 - 50 Years,342.9,343.5,347.9,347.8,348.2,351.2,360.4,373.5,392,407.3,419.6,425.7,428.2,425,417.9,410.6,402.8,392.6,382.7,372.4,359.2,342.5,326.3,310.8,294.6,280.7,263.3,226,198.8,174.3,147.9,133.7,136.1,135.8,132,128,118.4,111.1,101.2,92.9,88.7,82.4,77.1,72.8,69.5,66.5,63.2,57.9,54.4,49.7,44.3,41.2,38.9,37.5,35.3,34,32.9
  > 50 - 55 Years,342.2,347.2,355.6,371,383.8,393.5,398.1,399.8,396.9,390.5,384.9,379.3,369.5,359.6,349.2,336.8,321.9,308.7,294.9,280.2,267.7,251.8,222.9,199.2,179.8,156,144.7,142,141.2,130.9,125.2,116.2,109.3,99.8,92.2,88.8,84,78,74.2,71.4,68.3,64,60.6,56,51.7,48.3,45.2,42.3,40.8,38.6,35.6,34,31.6,30.3,27.7,27.5,26.6
  > 55 - 60 Years,378,379.3,378.6,375.5,369.7,364.1,357.6,348.4,339.4,328.9,316.8,302.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
