,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employment (Persons) By Sector, (As At Year-End), Annual",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data last updated: 01/07/2022,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 
Manufacturing,449.2,450.8,484.8,488.2,490,500.5,514.8,536,539.9,535.1,526.7,520.9,516.3,559,566.8,517.5,475.9,446.7,419.7,424.7,430.1
Construction,408.2,403.9,456.8,444.2,451.8,489.9,501.2,494,479.3,440.7,400.3,378.5,378,353.8,295.9,255.5,235,226.3,235.4,252.9,287.2
Services,2759.4,2722.6,2816.1,2755.3,2700.4,2655.1,2612.3,2566.6,2448.1,2356.9,2278.3,2184.2,2073.9,2016.7,1849.6,1706.5,1593.8,1520.1,1465.2,1455.3,1438.8
  Wholesale And Retail Trade,456.1,461.1,486,491.2,490.1,492.6,491.2,499.6,482.1,466.7,455.1,440.7,427.6,423,384.9,365,346.4,333.8,322.8,325.1,325.2
  Transportation And Storage,256.2,253.9,261.8,259.8,252.2,245,241.6,239,231.1,222.8,213.4,206.6,199.9,202.5,184,179,173,166.6,163.9,164.5,161
  Accommodation And Food Services,245.8,247,266.7,259.7,254.8,251.2,245.9,240.7,230.5,223,215.9,205.7,190.2,187.9,162.1,145.8,133.2,127.5,123.3,121.4,118.1
  Information And Communications,167.8,153.7,148.6,142.4,134.1,129.9,127.7,123.5,116.6,110.3,107.2,98.2,89.7,86.8,79.4,73.1,66.6,63,60.2,62.7,64.8
  Financial And Insurance Services,209.3,204.1,200.9,194.5,188.6,185.5,179.8,176.5,167.8,162,156.1,149,142.3,140.9,149.1,127.3,116,108.2,102.1,99.9,101.9
    Real Estate Services,72.6,74.1,82.5,82.6,86.3,84.4,89.6,95,87.7,89.1,85,81.3,78.9,76.2,61.4,52.9,48.4,45.9,na,na,na
    Professional Services,260.5,252.9,257.1,243.8,237.9,233.9,234.4,231.7,218.6,203.9,193.7,184.2,172.6,168,150.5,128.4,114.6,106.9,na,na,na
    Administrative And Support Services,244.3,240.3,257,247.6,240.7,234.2,224.8,210.5,196.5,185.9,178.8,169,157.2,149.4,124.1,113.2,97.4,87.3,na,na,na
"  Community, Social And Personal Services",846.9,835.6,855.4,833.6,815.8,798.3,777.2,750.2,717.3,693.2,673.1,649.5,615.4,581.8,554.1,522,498.3,480.8,468.1,461,448.6
Others,26.7,26,26.7,27.1,27.2,27.7,27.9,27.3,26.6,24.9,23.2,22.4,21.9,23,18.5,16.4,15.2,13.5,14.9,15.3,14.9
,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,
"1) Data are primarily from administrative records, with the self-employed component estimated from the Labour Force Survey.  2) Data may not add up to the total due to rounding.  The industries are classified based on SSIC 2015 from 2008 onwards and SSIC 2005 before 2008.",,,,,,,,,,,,,,,,,,,,,
Others (Thousand):,,,,,,,,,,,,,,,,,,,,,
"Includes agriculture, fishing, quarrying, utilities, sewerage and waste management",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,
