,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,
Subject: Public Finance,,,,,,,,,,,,,,,,
Topic: Government Revenue and Expenditure,,,,,,,,,,,,,,,,
"Table Title: General Government Finance, Annual",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data last updated: 30/09/2021,,,,,,,,,,,,,,,,
"Source: ACCOUNTANT-GENERAL'S DEPARTMENT",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Million Dollars
Data Series,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 
Cash Surplus/Deficit,-35505.9,38123.8,24283.9,35872.6,22209,17778,28332,31006,31185,31889,24407,4421,20904,30310,14513,13548
  Net Cash Inflow From Operating Activities,-36982.4,34746.3,17779,27887.2,17735,8772,19428,18721,18781,14927,14277,7767,16190,19365,11431,11873
    Cash Receipts From Operating Activities,87049.4,107462.3,92464.8,95696.2,81396,76208,71894,66350,64449,59806,54864,48161,55925,52495,42266,38663
    Cash Payments For Operating Activities,124031.8,72715.9,74685.7,67808.9,63661,67436,52466,47629,45668,44879,40587,40394,39735,33130,30835,26790
  Net Cash Outflow From Investments In Non-Financial Assets,-1476.6,-3377.5,-6504.9,-7985.4,-4474,-9006,-8904,-12285,-12404,-16962,-10130,3346,-4714,-10945,-3082,-1675
    Purchases Of Non-Financial Assets,6005.8,8095,8087.6,7888.6,8041,6536,6022,5265,6032,5904,6172,7380,5003,3783,3259,3975
    Sales Of Non-Financial Assets,7482.4,11472.5,14592.5,15874.1,12515,15542,14926,17550,18436,22866,16302,4034,9717,14728,6341,5650
Net Cash Inflow From Financing Activities,76287.1,94156.6,45029,40393.1,41995,37567,15454,-15314,32447,39364,35171,34810,21315,37728,12797,16408
  Net Incurrence Of Liabilities,73633,94168.6,44822,37527.7,43201,40115,14652,-14899,29457,36461,31331,36283,20422,32955,8962,11933
    Domestic,73633,94168.6,44822,37527.7,43201,40115,14652,-14899,29457,36461,31331,36283,20422,32955,8962,11933
    Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Net Acquisition Of Financial Assets Other Than Cash,-2654.1,12,-207,-2865.4,1206,2548,-802,415,-2991,-2903,-3840,1473,-893,-4773,-3835,-4475
    Domestic Excluding Cash,-2654.1,12,-207,-2865.4,1206,2548,-802,415,-2991,-2903,-3840,1473,-893,-4773,-3835,-4475
    Foreign Excluding Cash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,
"Data refer to the Government's financial year, which begins on 1 April of the current year and ends on 31 March of the following year.  Presentation format of the table follows that of the National Summary Data Page for Singapore, which disseminates the data prescribed by the International Monetary Fund's Special Data Dissemination Standards.  Data in the table represent a broader definition of Government revenues and receipts than what are permissible for Government spending as presented in each year's Budget Statement.  This is because some revenues and receipts accrue to the Government's past reserves, which cannot be drawn on without the approval of the President.  The data prior to FY 2015 follow the IMF Government Financial Statistics Manual (GFSM), i.e., GFSM 2001.  Data from FY 2015 follow the latest IMF Government Financial Statistics Manual (GFSM), GFSM 2014, which is an update from the previous GFSM 2001.  Details on the differences in the reporting format for GFSM 2014 and GFSM 2001 can be found in IMF's website http://www.imf.org/external/pubs/ft/gfs/manual/aboutgfs.htm.  General government finance includes budgetary and extra-budgetary accounts.  Figures may not add up due to rounding.",,,,,,,,,,,,,,,,
Cash Surplus/Deficit (Million Dollars):,,,,,,,,,,,,,,,,
"Does not reflect the fiscal position of the current term of government, as it takes into account land sales and capital receipts (which accrue primarily to past reserves) in addition to taxes and other revenues, as well as land-related expenditure.",,,,,,,,,,,,,,,,
Net Cash Inflow From Financing Activities (Million Dollars):,,,,,,,,,,,,,,,,
Data reflect the net issuance of Government securities and lending minus repayments.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,
