,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Domestic Product Deflators (2015 = 100), By Industry (SSIC 2020), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 
GDP,107.5,103.3,106.5,106.9,103.3,100.4,100,97,97.3,97.7,97.2,96.1,95,92.3,93.6,88.4,86.8,85.2,81.9,83.4,84.2,85.7,82.5,85.6,86.8,85.8,84.5,81.9,79.2,76.6,75.5,72.3,69.1,66.3,62.9,62.6,63.3,64.3,63.8,61.8,59.1,55.9,50.3,47.8,45.9,45,44.2,43,37,32.7,30.9,29.5,29,28.4,28,27.9,27.3,27,26.8,26.6,26.5,26.4
  Goods Producing Industries,98.9,95.1,104.6,108.1,98.7,97,100,91.4,88.8,92.5,90.9,95.2,103.5,98.7,104.1,105.7,107.8,108.3,99.7,100.3,100.9,101.1,94.3,102.9,103.6,102.3,99.5,98,100,95.2,93.5,85.3,84.2,83,77.7,78,74.8,75.4,74.1,71.1,69,65.8,56,51.8,50.1,49.2,49.1,47.1,39.1,34,31,29,27.9,27.4,27,26.6,26.1,25.5,25,24.5,23.8,23.6
    Manufacturing,99.8,95.6,107.6,112.3,100.4,97.1,100,88.9,86.3,91.2,89.3,95,103.8,98,108.2,110.7,113.7,114,103.7,103.9,103.5,104.1,93.6,103,103.4,103.1,100.5,98.5,100.1,94.7,93.7,85,83.9,82.7,77.1,76.3,73.5,74.1,72.8,69.4,69.1,66.3,56.8,51.8,49.8,48.8,48.4,45.5,37.1,32.6,29.7,28,27.2,26.8,26.6,26.4,25.7,24.9,24.1,23.2,22.5,22.4
    Construction,100.7,95.9,92.4,91.5,92.5,97.2,100,99.5,96.6,95,95,95.4,106.2,103.8,87.8,84.9,84.9,83.2,81.5,82.7,83.5,88,94.5,99.6,100.3,97.6,94.7,95.3,100,98.9,93.3,83.4,82.4,77.7,75.6,73.7,72.8,73,71.5,68.9,64.5,56.4,47.7,46.5,45.9,45.1,44.9,45.5,37.2,32.1,27.5,24.6,22.3,21.8,21.6,21.3,21,20.6,20.4,20.2,19.9,19.8
    Utilities,96.2,103.5,98.3,98.5,92.6,94.6,100,95.2,93.4,97.7,95.2,90.6,83.3,83.3,83.1,81.9,75.7,82.3,81.2,85.3,95.7,81,84.4,92.9,95,88.8,84.8,81.9,81.8,75.2,75,77.5,77.1,83.3,75.5,91.4,73.8,74.3,72.3,67.6,56.1,67.9,56.1,50.9,48.5,50,49.5,48.6,47,44.2,44.1,43.8,42.9,42.9,42.9,40.6,40.6,40.6,40.9,40.7,40.2,39.7
    Other Goods Industries,108.3,105.8,106.1,104.8,103,101.2,100,99.4,98.6,94.7,97.9,99.2,99.1,101.6,98.6,97.3,100.4,99.2,95.3,98.9,92.2,92.5,92.8,90.2,100.6,101.2,92.4,94.9,85.1,80.7,90.2,96,84.3,82.1,78.5,84,94.2,100.4,104,112.4,110.4,99.9,84.9,80.7,82.9,78.9,83.7,79.2,70.1,51.2,54.1,50.4,49.5,48.6,45.7,45.1,44.4,43.8,43.5,43.3,41.7,41.3
  Services Producing Industries,112.5,109,110.4,109.2,106.4,102.6,100,98.5,99.7,100,100.8,99.1,95.8,93.2,94.8,88.3,85,82,79.8,82.1,81.7,83.2,82.1,83.2,83.4,82.8,82.1,79.4,76.7,75.7,76,74.7,69.8,66.6,64.1,64.3,66.6,67.9,68,66.4,62.8,58.9,54.4,52.5,50.3,49.3,48.4,47.2,40.9,36.3,35,33.8,33.9,33,32.8,32.8,32,31.7,31.7,31.5,31.5,31.4
    Wholesale & Retail Trade,138.1,129.4,129.4,127.8,121.1,111.8,100,102.4,112.4,117.8,126.6,118.4,117.5,101,113.9,104.5,95.8,84.2,81.5,89.4,86.1,88.1,93.4,88.3,87.8,91,86.1,86,86.8,87.1,85.6,83.4,72.6,71.9,72,70.8,70.6,72.4,74.5,75,73.2,73.9,70.7,67.4,65.6,64.6,62.9,63.9,55.2,45.6,44.9,43.5,43.8,41.2,40.9,41.4,40.4,39.8,39.6,39.6,40.5,41.5
      Wholesale Trade,142.5,132.9,133,130.9,123.5,113.1,100,102.7,114.1,120.1,130.1,121.9,121.4,103.4,119,108.4,98.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
