,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 
GDP In Chained (2015) Dollars,496161.6,461056.9,480984.6,475771.7,458967.5,438525.9,423444.1,411203.4,395633.1,377449,361418.3,340270.7,297128.4,296748.7,291320,267213.3,245134.6,228316.1,207673.4,198638.8,191139.7,193208.7,177193.4,167608.9,171363.5,158206.7,147208.2,137352.6,123634.5,110923.1,104016.6,97495.7,88777,80590,72431.6,65372.7,64506.5,64910.7,59664.8,54963,51318.3,46309.5,42056.2,38388.4,35618.3,33334.1,31026.6,29836.5,28116.5,25421.1,22433.9,19956.6,17514.7,15386.2,13552.9,12046.1,10933.1,10138.8,10463.5,9508.8,8841,8175.7
  Goods Producing Industries,134521.3,118620.3,118226.9,119517.1,113171.2,105825.5,102984.3,105635.9,101766.4,99932.8,97809.6,91617.9,73859.3,73463.5,74054.1,69117,62099.1,57362,51693.9,50897.2,48571,53305.1,47999.6,44886.1,44785.8,42088.6,39576.9,36166.7,31650,28961.7,27609.9,25753.9,23641.1,21889,19435.5,17738.4,18070.8,20050.5,18288.6,16571.7,15787.9,14313.7,13067.2,11717.1,11003.8,10366.5,9335.7,9048.7,8733,8088.3,6937.4,5977.6,5014,4281.9,3642.9,3213.3,2879.9,2634,2472.5,2190,2002.7,1836.6
    Manufacturing,112576.6,99463,92497.3,93863.1,87699,79433.1,76598.2,80738.3,78628.6,77336.1,77090.1,71507,55143.1,57530.8,60045.8,56678.6,50641.2,46243.6,40619.5,39437.8,36358.7,41132.1,35721.6,31603.2,31835.2,30523.1,29700.5,26990.7,23950.5,21839.5,21349.4,20247.5,18491.5,16840.9,14232.1,12117.2,11178,12058.2,11217,10911.6,11307.5,10345.4,9404.9,8264.2,7423.7,6790.9,6077.8,6200.1,5963.3,5131.7,4346.3,3670,3019.7,2459.7,2061.7,1794.6,1573.6,1407.7,1365.3,1170.2,1073.8,1019.3
    Construction,14464.8,12043.3,19548.6,19497.5,19390.2,20326.6,20430.8,19274.8,17719.7,17289.3,15612.5,15098.6,14108.8,11534.9,9217.9,7637.8,7081.9,7025.2,7391.8,8085.8,9322.1,9306.2,9571,10726.3,10514.9,9302.1,7739.3,7150.6,5854.2,5375.5,4564.1,3868,3595.3,3553.7,3753.8,4253.8,5554.2,6692.2,5815.5,4472.9,3253.6,2757.9,2487.2,2331.5,2531.8,2593.2,2343.5,2016.9,1927.5,2125.1,1815.3,1582,1280.3,1133.5,940.2,828.5,840,730.3,626,517.2,470.6,342.7
    Utilities,6081.1,5839.6,5981.7,5898.6,5934.2,5928.3,5817.2,5702.9,5588.2,5481.6,5365.3,5260.2,4866.8,4800.6,4706.6,4524.9,4230.1,4157.5,4016.1,3834.6,3609.9,3377.6,3137.6,3013.1,2854.2,2598.2,2377.7,2231.7,2022,1894.6,1818.9,1707.8,1578.9,1499,1386.6,1273.3,1198.9,1151.7,1078.7,996,952.4,892.7,837.1,778.2,689.6,630.5,584.3,549.1,524.2,476.2,421.3,384.7,341,314.4,277.8,238,197.8,198.5,174.6,170.2,149.3,143.7
    Other Goods Industries,165.4,149.3,155.9,146.2,141.5,137.5,138.1,138.6,134.2,129.6,124.2,119.2,116,111.7,118.6,118.6,116.6,109.1,109.1,119,143.7,164.9,175.4,177.2,196.4,201.3,195.2,205.3,198.9,207.8,217.7,237.5,258.7,271.4,319.4,348.9,399.7,444.5,431.3,406,402.2,390.9,385.9,378.6,392.8,388.7,353.7,325.8,339.3,358.6,331.2,299.4,288.6,273.6,252.5,243.4,206.3,208.2,210.1,209.9,197.2,193.5
  Services Producing Industries,312552.8,296082.6,311839.5,306811.8,296817.9,286175.8,278103,266871.2,255804.2,239407.3,227086.6,212491.4,189638.9,190043.3,181601,165545,152934.3,142443.1,129713.2,122130.5,117806,113831.8,105367.6,100707.4,104509.3,95255,87624.6,82370.9,74771.2,66191.3,61437.6,57301.6,51568.8,46457.9,41918.4,37634.8,36726.2,35169.9,32732.3,30718.2,28229.1,25487.2,23042.1,21271.1,19561.5,18248.7,17211.1,16487.6,15210.6,13518.1,12120.6,10840.2,9738,8671.6,7684.6,6775.9,6191.1,5826.1,6253.5,5683,5303.5,4895.3
    Wholesale & Retail Trade,70289,67349.5,69488.5,69885.7,67831.7,66324.5,65584.5,63214.9,60939.5,57411.4,53713.2,49974,42894.2,44642.4,43119,40233.7,36182.6,32884.3,28020.7,24882.9,23344.9,23525.3,19726,18346.2,19977.8,18647.8,17871,15937.1,13891.7,11344.3,11449.9,10382.8,9317.9,8596.9,7278.7,6584.8,6633.2,6893,6543,6237.9,5936.6,5732.6,5490.5,5221.1,4914.3,4533.8,4480.9,4508,4057.4,3647.3,3361.4,3104.8,2875.9,2586.6,2299.7,1919.9,1649,1595.2,2006.6,1729.6,1610.3,1449.6
      Wholesale Trade,63299.9,60912.5,61941.4,62152.3,60213.7,58796.5,58306.1,56302.3,54257.5,50863.9,47391.9,43897.3,37059.8,38447.7,36897.6,34328.9,30599.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
