,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: International Trade Price Indices (EPI and IPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Import Price Index, By Commodity Section (1-Digit Level), Base Year 2018 = 100, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 
Import Price Index - Overall Items,102.721,92.025,98.966,100,95.324,90.063,95.109,108.862,112.028,115.245,115.585,110.284,109.479,119.059,115.552,117.751,114.476,108.861,107.063,106.76,109.103,110.243,101.187,99.576,100.436,103.946,108.202,108.277,109.386,111.694,115.599,119.449,120.603,120.702,120.233,111.063,125.716,129.178,130.08,133.516,139.692,137.483,117.718,104.255,100.395,95.553,87.664,89.133
  Food & Live Animals,105.425,102.907,101.535,100,101.174,99.503,102.032,104.787,101.418,100.522,103.094,97.677,92.587,93.885,85.729,79.843,78.601,76.155,72.896,71.053,72.143,73.574,76.415,76.027,72.916,70.473,69.977,68.624,65.498,68.682,69.172,70.898,75.814,76.403,73.493,73.569,73.575,74.595,73.61,76.654,76.905,75.721,71.68,68.432,68.309,59.171,55.55,57.573
  Beverages & Tobacco,106.379,97.859,100.394,100,100.221,99.569,99.822,97.354,96.414,95.345,93.892,96.543,98.436,92.919,93.719,96.421,96.974,100.473,96.535,97.834,96.869,96.178,95.808,94.912,88.12,85.892,85.379,87.577,89.271,88.353,88.823,82.483,81.067,80.249,80.505,76.805,73.668,72.963,72.252,70.999,69.462,64.681,59.039,56.293,53.51,53.354,50.9,46.894
  Crude Materials (Excl Fuels),104.743,101.798,101.18,100,100.496,97.839,105.263,111.72,114.417,119.598,127.018,115.399,103.728,122.65,113.098,103.055,88.557,80.059,72.629,68.73,67.605,69.364,65.788,70.799,80.783,86.305,87.352,75.298,66.978,67.196,68.055,70.545,79.826,94.385,82.898,75.291,75.902,86.53,89.653,77.526,91.728,115.488,105.879,86.363,78.814,75.058,56.139,68.187
"  Mineral Fuels, Lubricants & Related Materials",103.951,65.6,93.405,100,79.712,61.546,74.84,127.843,137.971,143.944,140.269,109.626,92.345,136.48,108.584,102.771,88.242,64.251,55.258,47.357,46.101,52.022,32.768,23.938,31.059,30.247,27.511,26.825,28.466,32.187,35.113,39.592,34.09,29.957,38.414,30.966,57.802,56.098,58.031,65.046,69.875,59.366,36.103,25.913,27.158,25.434,23.441,22.063
  Animal & Vegetable Oils Fats & Waxes,149.557,103.065,90.379,100,114.724,110.607,101.968,119.401,120.881,145.516,158.389,127.302,118.692,142.83,109.837,94.003,92.813,103.533,95.682,88.795,69.74,77.046,102.918,124.92,101.726,98.429,114.104,103.016,83.599,86.68,80.033,72.769,88.639,108.749,89.409,76.715,136.562,188.593,124.182,113.722,139.747,145.262,166.533,147.848,150.482,111.317,129.564,155.503
  Chemicals & Chemical Products,103.629,97.447,98.6,100,96.716,93.847,98.016,104.311,105.308,106.517,107.015,103.341,101.225,107.078,104.438,102.073,101.003,94.48,90.835,89.085,92.321,92.552,89.301,88.636,86.783,88.322,93.106,93.844,95.9,98.608,103.698,102.34,107.802,114.747,105.32,99.12,97.941,99.182,100.238,103.496,107.112,108.54,94.255,83.494,83.269,83.889,84.363,80.15
  Manufactured Goods,109.874,99.77,99.922,100,96.437,92.301,99.228,102.902,102.369,105.295,109.885,106.678,105.068,113.316,107.019,101.805,95.634,89.04,78.64,76.301,78.713,81.206,77.976,80.739,79.302,80.307,82.892,79.3,79.667,81.462,84.764,85.358,89.158,86.913,81.988,72.752,73.374,76.102,77.014,81.055,83.646,82.188,75.557,70.01,65.872,64.09,61.824,64.981
  Machinery & Transport Equipment,99.891,101.263,101.283,100,102.152,102.443,103.939,101.918,103.027,105.273,106.784,110.624,117.071,115.757,122.277,130.413,133.547,137.66,142.507,147.531,152.568,151.345,145.895,147.863,145.136,154.561,165.384,171.226,173.996,173.279,177.386,182.348,189.184,192.808,187.172,180.088,167.436,170.688,168.746,171.474,167.381,161.538,152.193,147.549,139.693,136.372,128.364,121.818
  Miscellaneous Manufactured Articles,106.397,105.952,102.042,100,101.618,101.761,100.978,97.848,97.808,100.45,97.814,96.656,96.679,94.883,95.175,96.551,96.933,96.957,96.519,96.419,96.452,94.66,94.417,95.225,95.025,95.754,99.059,99.638,100.199,99.093,101.024,102.725,105.392,108.173,102.957,101.215,94.223,94.751,94.891,97.103,100.249,99.514,92.283,89.228,86.628,82.814,79.033,77.465
Non-Oil Import Price Index,102.291,101.263,100.911,100,100.967,100.37,102.435,102.001,102.652,104.872,106.216,107.456,110.832,111.429,114.174,118.336,118.936,119.656,120.326,122.568,126.021,125.525,122.006,123.827,121.767,126.878,133.881,134.448,134.86,135.619,139.122,141.488,148.528,152.622,143.864,137.193,133.6,139.625,139.491,139.223,144.266,148.94,138.185,126.85,120.569,115.058,105.429,108.531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Import Price Index:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Import Price Index (IPI) tracks changes in the monthly prices of imported goods. The IPI is also used as price deflators to estimate the volume of international trade and to compile constant price National Accounts estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
